DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/23-11:00:55.075724 1900000000 1900000000 657 -1.051 1482 -1.041 1621 1.153
2023/02/23-11:00:55.094417 1900000000 1900000000 656 2.779 1484 2.788 1622 1.155
2023/02/23-11:00:55.121256 1900000000 1900000000 656 -3.031 1484 -3.022 1623 1.154
2023/02/23-11:00:55.143536 1900000000 1900000000 658 -2.998 1483 -2.988 1622 1.153
2023/02/23-11:00:55.164497 1900000000 1900000000 658 -1.256 1482 -1.247 1622 1.153
2023/02/23-11:00:55.184325 1900000000 1900000000 659 -2.630 1481 -2.620 1621 1.152
2023/02/23-11:00:55.208701 1900000000 1900000000 658 -0.362 1482 -0.353 1621 1.153
2023/02/23-11:00:55.237674 1900000000 1900000000 660 2.812 1478 2.821 1619 1.151
2023/02/23-11:00:55.253622 1900000000 1900000000 659 0.026 1480 0.035 1620 1.152
2023/02/23-11:00:55.279601 1900000000 1900000000 660 -3.113 1479 -3.104 1620 1.151
2023/02/23-11:00:55.300617 1900000000 1900000000 657 0.344 1483 0.353 1622 1.154
2023/02/23-11:00:55.325534 1900000000 1900000000 660 -0.608 1480 -0.599 1621 1.151
2023/02/23-11:00:55.342125 1900000000 1900000000 655 -2.263 1483 -2.254 1621 1.155
2023/02/23-11:00:55.360296 1900000000 1900000000 659 0.855 1482 0.864 1622 1.153
2023/02/23-11:00:55.382832 1900000000 1900000000 661 -1.830 1479 -1.821 1620 1.151
2023/02/23-11:00:55.415318 1900000000 1900000000 658 0.103 1480 0.112 1620 1.152
2023/02/23-11:00:55.434374 1900000000 1900000000 661 -0.294 1479 -0.285 1620 1.151
2023/02/23-11:00:55.453413 1900000000 1900000000 660 2.069 1480 2.078 1620 1.151
2023/02/23-11:00:55.471940 1900000000 1900000000 657 2.642 1483 2.651 1621 1.154
2023/02/23-11:00:55.491301 1900000000 1900000000 659 -3.081 1480 -3.072 1620 1.152
2023/02/23-11:00:55.511802 1900000000 1900000000 660 -3.118 1478 -3.108 1619 1.151
2023/02/23-11:00:55.538058 1900000000 1900000000 662 2.572 1477 2.582 1619 1.150
2023/02/23-11:00:55.554329 1900000000 1900000000 663 -0.665 1477 -0.656 1619 1.149
