DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/24-13:44:31.145897 1900000000 1900000000 1459 0.659 139 -2.489 1465 0.095
2023/02/24-13:44:31.169269 1900000000 1900000000 1458 0.990 141 -2.157 1465 0.096
2023/02/24-13:44:31.189858 1900000000 1900000000 1458 -0.791 139 2.345 1464 0.095
2023/02/24-13:44:31.210665 1900000000 1900000000 1460 0.856 138 -2.290 1466 0.094
2023/02/24-13:44:31.238715 1900000000 1900000000 1458 1.440 140 -1.707 1464 0.096
2023/02/24-13:44:31.255876 1900000000 1900000000 1457 0.168 140 -2.979 1464 0.096
2023/02/24-13:44:31.286545 1900000000 1900000000 1458 2.383 140 -0.764 1465 0.096
2023/02/24-13:44:31.304188 1900000000 1900000000 1457 1.399 141 -1.748 1464 0.096
2023/02/24-13:44:31.329569 1900000000 1900000000 1455 -0.170 142 2.967 1462 0.097
2023/02/24-13:44:31.344751 1900000000 1900000000 1457 0.824 141 -2.322 1464 0.097
2023/02/24-13:44:31.368022 1900000000 1900000000 1457 1.835 141 -1.312 1464 0.097
2023/02/24-13:44:31.407701 1900000000 1900000000 1457 -0.300 142 2.837 1464 0.097
2023/02/24-13:44:31.432517 1900000000 1900000000 1453 -1.557 147 1.578 1461 0.101
2023/02/24-13:44:31.462574 1900000000 1900000000 1455 -0.203 143 2.933 1462 0.098
2023/02/24-13:44:31.481314 1900000000 1900000000 1455 3.080 143 -0.068 1462 0.098
2023/02/24-13:44:31.506306 1900000000 1900000000 1455 2.093 146 -1.054 1463 0.100
2023/02/24-13:44:31.525183 1900000000 1900000000 1455 2.648 145 -0.498 1462 0.099
2023/02/24-13:44:31.544730 1900000000 1900000000 1454 0.971 146 -2.177 1461 0.100
2023/02/24-13:44:31.572103 1900000000 1900000000 1457 -2.788 140 0.347 1464 0.096
2023/02/24-13:44:31.595116 1900000000 1900000000 1455 -2.245 143 0.890 1462 0.098
2023/02/24-13:44:31.614689 1900000000 1900000000 1455 -2.855 141 0.281 1462 0.097
2023/02/24-13:44:31.640537 1900000000 1900000000 1457 0.708 140 -2.439 1463 0.096
2023/02/24-13:44:31.661878 1900000000 1900000000 1456 2.645 143 -0.502 1463 0.098
2023/02/24-13:44:31.687754 1900000000 1900000000 1455 1.060 144 -2.087 1462 0.099
2023/02/24-13:44:31.705228 1900000000 1900000000 1454 0.315 146 -2.833 1462 0.100
2023/02/24-13:44:31.734372 1900000000 1900000000 1455 -1.039 142 2.097 1462 0.097
2023/02/24-13:44:31.751712 1900000000 1900000000 1455 -0.173 143 2.964 1462 0.098
2023/02/24-13:44:31.781601 1900000000 1900000000 1456 -0.994 142 2.144 1463 0.097
2023/02/24-13:44:31.798576 1900000000 1900000000 1455 -2.330 142 0.804 1462 0.097
2023/02/24-13:44:31.823732 1900000000 1900000000 1455 2.579 143 -0.567 1462 0.098
2023/02/24-13:44:31.841957 1900000000 1900000000 1457 1.201 142 -1.947 1464 0.097
2023/02/24-13:44:31.872068 1900000000 1900000000 1456 -0.629 145 2.508 1463 0.099
2023/02/24-13:44:31.902360 1900000000 1900000000 1457 0.311 143 -2.836 1464 0.098
2023/02/24-13:44:31.922085 1900000000 1900000000 1456 -0.274 145 2.862 1463 0.100
2023/02/24-13:44:31.943378 1900000000 1900000000 1455 -2.879 143 0.257 1462 0.098
2023/02/24-13:44:31.962588 1900000000 1900000000 1454 -2.133 147 1.004 1461 0.101
2023/02/24-13:44:31.987524 1900000000 1900000000 1456 -0.901 144 2.236 1463 0.099
2023/02/24-13:44:32.007698 1900000000 1900000000 1454 -2.733 147 0.404 1462 0.101
2023/02/24-13:44:32.029852 1900000000 1900000000 1455 -0.054 145 3.083 1462 0.100
2023/02/24-13:44:32.047556 1900000000 1900000000 1455 2.531 141 -0.616 1462 0.097
2023/02/24-13:44:32.071332 1900000000 1900000000 1455 2.469 144 -0.680 1462 0.098
2023/02/24-13:44:32.089114 1900000000 1900000000 1456 -2.750 142 0.387 1463 0.097
2023/02/24-13:44:32.109513 1900000000 1900000000 1456 -2.842 140 0.294 1462 0.096
2023/02/24-13:44:32.130261 1900000000 1900000000 1457 0.902 142 -2.245 1464 0.097
2023/02/24-13:44:32.151073 1900000000 1900000000 1456 2.673 142 -0.474 1463 0.097
2023/02/24-13:44:32.169429 1900000000 1900000000 1458 -0.608 140 2.527 1464 0.096
2023/02/24-13:44:32.197631 1900000000 1900000000 1457 -0.561 140 2.576 1463 0.096
2023/02/24-13:44:32.220720 1900000000 1900000000 1457 2.303 138 -0.844 1464 0.095
2023/02/24-13:44:32.244475 1900000000 1900000000 1456 1.828 141 -1.319 1462 0.096
2023/02/24-13:44:32.268855 1900000000 1900000000 1453 -2.525 144 0.611 1460 0.099
2023/02/24-13:44:32.289580 1900000000 1900000000 1456 -1.308 138 1.827 1463 0.095
2023/02/24-13:44:32.319320 1900000000 1900000000 1456 0.021 141 -3.126 1463 0.097
2023/02/24-13:44:32.344700 1900000000 1900000000 1454 0.365 143 -2.782 1461 0.098
2023/02/24-13:44:32.375303 1900000000 1900000000 1456 1.453 143 -1.694 1463 0.098
2023/02/24-13:44:32.394829 1900000000 1900000000 1456 -0.934 143 2.202 1463 0.098
2023/02/24-13:44:32.424771 1900000000 1900000000 1454 -0.099 144 3.039 1461 0.099
2023/02/24-13:44:32.440794 1900000000 1900000000 1455 0.823 142 -2.324 1462 0.097
2023/02/24-13:44:32.482128 1900000000 1900000000 1454 -1.779 146 1.356 1461 0.100
2023/02/24-13:44:32.517015 1900000000 1900000000 1454 1.118 144 -2.029 1462 0.099
2023/02/24-13:44:32.534278 1900000000 1900000000 1453 -2.257 144 0.879 1461 0.099
2023/02/24-13:44:32.561387 1900000000 1900000000 1455 2.713 145 -0.436 1462 0.100
2023/02/24-13:44:32.590743 1900000000 1900000000 1455 -1.030 141 2.107 1462 0.097
2023/02/24-13:44:32.611259 1900000000 1900000000 1454 2.272 145 -0.873 1461 0.099
2023/02/24-13:44:32.638722 1900000000 1900000000 1454 1.373 145 -1.773 1461 0.099
2023/02/24-13:44:32.666680 1900000000 1900000000 1456 -0.973 142 2.163 1463 0.097
2023/02/24-13:44:32.690120 1900000000 1900000000 1454 -0.486 142 2.649 1461 0.098
2023/02/24-13:44:32.706760 1900000000 1900000000 1456 -0.517 142 2.618 1463 0.098
2023/02/24-13:44:32.731389 1900000000 1900000000 1456 1.634 141 -1.513 1463 0.097
2023/02/24-13:44:32.753487 1900000000 1900000000 1455 3.103 144 -0.044 1462 0.099
2023/02/24-13:44:32.783407 1900000000 1900000000 1454 -0.727 144 2.410 1461 0.099
2023/02/24-13:44:32.803884 1900000000 1900000000 1455 -2.749 144 0.386 1462 0.099
2023/02/24-13:44:32.821828 1900000000 1900000000 1454 1.792 145 -1.355 1462 0.099
2023/02/24-13:44:32.836058 1900000000 1900000000 1453 1.025 145 -2.123 1460 0.100
2023/02/24-13:44:32.874699 1900000000 1900000000 1453 3.080 146 -0.068 1460 0.100
2023/02/24-13:44:32.895076 1900000000 1900000000 1451 -1.658 147 1.478 1459 0.101
2023/02/24-13:44:32.915864 1900000000 1900000000 1454 -0.859 144 2.276 1461 0.099
2023/02/24-13:44:32.934839 1900000000 1900000000 1452 2.232 147 -0.917 1459 0.101
2023/02/24-13:44:32.962798 1900000000 1900000000 1454 2.268 143 -0.879 1461 0.098
2023/02/24-13:44:32.983777 1900000000 1900000000 1453 -1.530 147 1.606 1461 0.101
2023/02/24-13:44:33.010717 1900000000 1900000000 1455 -0.717 141 2.419 1462 0.097
2023/02/24-13:44:33.032301 1900000000 1900000000 1455 -2.262 141 0.875 1462 0.097
2023/02/24-13:44:33.057575 1900000000 1900000000 1455 -2.076 144 1.060 1462 0.098
2023/02/24-13:44:33.074990 1900000000 1900000000 1455 2.540 142 -0.608 1462 0.098
2023/02/24-13:44:33.097280 1900000000 1900000000 1456 -2.074 142 1.061 1463 0.097
2023/02/24-13:44:33.117890 1900000000 1900000000 1456 -1.477 141 1.660 1463 0.096
2023/02/24-13:44:33.138438 1900000000 1900000000 1454 2.651 144 -0.495 1461 0.099
2023/02/24-13:44:33.155935 1900000000 1900000000 1453 1.455 147 -1.692 1461 0.101
2023/02/24-13:44:33.175174 1900000000 1900000000 1452 -1.316 146 1.822 1459 0.100
2023/02/24-13:44:33.197544 1900000000 1900000000 1455 1.790 143 -1.357 1462 0.098
2023/02/24-13:44:33.218038 1900000000 1900000000 1453 -0.328 146 2.808 1461 0.100
2023/02/24-13:44:33.240531 1900000000 1900000000 1456 2.158 140 -0.989 1462 0.096
2023/02/24-13:44:33.259674 1900000000 1900000000 1453 -0.564 146 2.571 1461 0.100
2023/02/24-13:44:33.276654 1900000000 1900000000 1455 1.396 142 -1.751 1461 0.098
2023/02/24-13:44:33.303405 1900000000 1900000000 1454 -1.662 142 1.474 1461 0.098
2023/02/24-13:44:33.329444 1900000000 1900000000 1453 -2.556 143 0.579 1460 0.098
