DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/23-11:46:50.844829 1900000000 1900000000 1619 -1.375 207 1.754 1632 0.127
2023/02/23-11:46:50.865776 1900000000 1900000000 1618 -0.365 206 2.763 1631 0.127
2023/02/23-11:46:50.886211 1900000000 1900000000 1617 1.154 208 -2.000 1630 0.128
2023/02/23-11:46:50.916361 1900000000 1900000000 1618 -2.197 207 0.931 1631 0.128
2023/02/23-11:46:50.938683 1900000000 1900000000 1620 0.422 206 -2.732 1633 0.127
2023/02/23-11:46:50.950705 1900000000 1900000000 1618 2.091 207 -1.063 1631 0.127
2023/02/23-11:46:50.981692 1900000000 1900000000 1619 -2.722 204 0.405 1631 0.126
2023/02/23-11:46:50.999412 1900000000 1900000000 1619 -0.534 206 2.595 1632 0.126
2023/02/23-11:46:51.022586 1900000000 1900000000 1618 -1.201 205 1.927 1631 0.126
2023/02/23-11:46:51.042443 1900000000 1900000000 1620 1.320 206 -1.835 1633 0.126
2023/02/23-11:46:51.066421 1900000000 1900000000 1618 -0.729 207 2.399 1632 0.127
2023/02/23-11:46:51.087615 1900000000 1900000000 1619 -1.467 203 1.662 1632 0.125
2023/02/23-11:46:51.109212 1900000000 1900000000 1619 0.063 205 -3.091 1632 0.126
2023/02/23-11:46:51.130610 1900000000 1900000000 1619 -1.760 204 1.369 1631 0.125
2023/02/23-11:46:51.149628 1900000000 1900000000 1619 0.048 203 -3.106 1632 0.125
2023/02/23-11:46:51.168035 1900000000 1900000000 1618 -0.409 206 2.719 1631 0.127
2023/02/23-11:46:51.186648 1900000000 1900000000 1620 0.187 202 -2.969 1633 0.124
2023/02/23-11:46:51.208464 1900000000 1900000000 1617 1.097 207 -2.058 1630 0.127
2023/02/23-11:46:51.224784 1900000000 1900000000 1620 -0.136 203 2.992 1633 0.124
2023/02/23-11:46:51.244494 1900000000 1900000000 1619 -0.226 205 2.904 1632 0.126
2023/02/23-11:46:51.267740 1900000000 1900000000 1620 2.448 201 -0.706 1632 0.123
2023/02/23-11:46:51.286910 1900000000 1900000000 1617 2.440 206 -0.713 1630 0.127
2023/02/23-11:46:51.302696 1900000000 1900000000 1618 0.925 203 -2.229 1631 0.125
2023/02/23-11:46:51.326325 1900000000 1900000000 1620 0.044 200 -3.111 1633 0.123
2023/02/23-11:46:51.350609 1900000000 1900000000 1621 -1.567 200 1.561 1633 0.122
2023/02/23-11:46:51.371653 1900000000 1900000000 1616 0.568 207 -2.587 1629 0.127
2023/02/23-11:46:51.393232 1900000000 1900000000 1618 -1.599 205 1.529 1631 0.126
2023/02/23-11:46:51.412662 1900000000 1900000000 1620 3.090 203 -0.064 1632 0.125
2023/02/23-11:46:51.433305 1900000000 1900000000 1619 -0.808 203 2.321 1632 0.125
2023/02/23-11:46:51.458935 1900000000 1900000000 1620 -0.834 202 2.295 1633 0.124
2023/02/23-11:46:51.474298 1900000000 1900000000 1620 2.140 202 -1.014 1632 0.124
2023/02/23-11:46:51.500775 1900000000 1900000000 1619 -3.049 203 0.078 1631 0.125
2023/02/23-11:46:51.523658 1900000000 1900000000 1619 -3.081 204 0.047 1632 0.125
2023/02/23-11:46:51.549165 1900000000 1900000000 1619 2.232 206 -0.923 1632 0.127
2023/02/23-11:46:51.574372 1900000000 1900000000 1620 -1.462 202 1.668 1633 0.124
2023/02/23-11:46:51.588702 1900000000 1900000000 1620 1.107 202 -2.048 1633 0.124
2023/02/23-11:46:51.617466 1900000000 1900000000 1619 0.284 203 -2.870 1632 0.125
2023/02/23-11:46:51.641067 1900000000 1900000000 1618 2.612 206 -0.543 1631 0.127
2023/02/23-11:46:51.669817 1900000000 1900000000 1617 0.289 204 -2.865 1630 0.125
2023/02/23-11:46:51.696551 1900000000 1900000000 1614 -0.944 204 2.183 1627 0.126
2023/02/23-11:46:51.725251 1900000000 1900000000 1612 -2.920 204 0.208 1625 0.126
2023/02/23-11:46:51.752254 1900000000 1900000000 1609 -3.131 205 -0.002 1622 0.127
2023/02/23-11:46:51.773679 1900000000 1900000000 1606 -2.100 204 1.029 1619 0.126
2023/02/23-11:46:51.794691 1900000000 1900000000 1605 2.569 206 -0.586 1619 0.127
2023/02/23-11:46:51.818624 1900000000 1900000000 1603 0.718 205 -2.436 1616 0.127
2023/02/23-11:46:51.832725 1900000000 1900000000 1598 1.768 203 -1.386 1611 0.126
2023/02/23-11:46:51.861410 1900000000 1900000000 1593 -2.394 210 0.736 1607 0.131
