DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/23-18:08:12.573653 1900000000 1900000000 217 1.137 1443 1.142 1459 1.421
2023/02/23-18:08:12.590433 1900000000 1900000000 217 -0.000 1443 0.005 1460 1.422
2023/02/23-18:08:12.608666 1900000000 1900000000 215 0.344 1444 0.351 1460 1.423
2023/02/23-18:08:12.629772 1900000000 1900000000 218 0.623 1443 0.629 1459 1.421
2023/02/23-18:08:12.646378 1900000000 1900000000 220 1.415 1440 1.420 1457 1.419
2023/02/23-18:08:12.663044 1900000000 1900000000 215 1.109 1444 1.113 1460 1.423
2023/02/23-18:08:12.686108 1900000000 1900000000 221 -2.693 1441 -2.688 1458 1.418
2023/02/23-18:08:12.704268 1900000000 1900000000 219 -1.797 1442 -1.792 1458 1.420
2023/02/23-18:08:12.731282 1900000000 1900000000 218 1.248 1442 1.253 1459 1.421
2023/02/23-18:08:12.744873 1900000000 1900000000 218 -3.098 1442 -3.093 1458 1.421
2023/02/23-18:08:12.773590 1900000000 1900000000 216 0.358 1443 0.364 1459 1.422
2023/02/23-18:08:12.790066 1900000000 1900000000 220 -2.448 1441 -2.443 1458 1.419
2023/02/23-18:08:12.812639 1900000000 1900000000 218 0.640 1442 0.645 1458 1.421
2023/02/23-18:08:12.830735 1900000000 1900000000 216 -2.237 1442 -2.233 1458 1.422
2023/02/23-18:08:12.856260 1900000000 1900000000 218 0.497 1442 0.502 1458 1.421
2023/02/23-18:08:12.879142 1900000000 1900000000 218 2.423 1442 2.427 1459 1.421
2023/02/23-18:08:12.898701 1900000000 1900000000 221 -0.037 1441 -0.032 1458 1.419
2023/02/23-18:08:12.926420 1900000000 1900000000 222 2.653 1440 2.657 1457 1.418
2023/02/23-18:08:12.941766 1900000000 1900000000 217 -3.121 1442 -3.115 1458 1.421
2023/02/23-18:08:12.960223 1900000000 1900000000 218 1.902 1441 1.907 1457 1.420
2023/02/23-18:08:12.980905 1900000000 1900000000 218 -0.250 1442 -0.246 1458 1.421
2023/02/23-18:08:13.000720 1900000000 1900000000 219 0.650 1441 0.655 1458 1.420
2023/02/23-18:08:13.028826 1900000000 1900000000 224 1.281 1439 1.286 1456 1.416
2023/02/23-18:08:13.052904 1900000000 1900000000 223 2.603 1439 2.607 1456 1.417
2023/02/23-18:08:13.065879 1900000000 1900000000 219 2.393 1442 2.398 1458 1.420
2023/02/23-18:08:13.095713 1900000000 1900000000 222 -1.703 1439 -1.698 1456 1.418
2023/02/23-18:08:13.123814 1900000000 1900000000 225 0.303 1438 0.308 1456 1.415
2023/02/23-18:08:13.134386 1900000000 1900000000 222 -1.297 1439 -1.293 1456 1.418
2023/02/23-18:08:13.162653 1900000000 1900000000 224 1.856 1438 1.862 1456 1.416
2023/02/23-18:08:13.182937 1900000000 1900000000 221 3.023 1440 3.029 1457 1.418
2023/02/23-18:08:13.215563 1900000000 1900000000 219 -0.513 1441 -0.507 1458 1.420
2023/02/23-18:08:13.235532 1900000000 1900000000 224 -0.360 1438 -0.355 1456 1.416
2023/02/23-18:08:13.254764 1900000000 1900000000 222 2.395 1440 2.400 1457 1.418
2023/02/23-18:08:13.293299 1900000000 1900000000 222 2.313 1440 2.317 1457 1.418
2023/02/23-18:08:13.311662 1900000000 1900000000 219 2.795 1441 2.800 1457 1.420
2023/02/23-18:08:13.337775 1900000000 1900000000 219 0.209 1441 0.214 1458 1.420
2023/02/23-18:08:13.363318 1900000000 1900000000 216 -2.540 1442 -2.535 1458 1.422
2023/02/23-18:08:13.382799 1900000000 1900000000 221 1.639 1440 1.644 1457 1.419
2023/02/23-18:08:13.401409 1900000000 1900000000 218 -2.483 1441 -2.478 1458 1.420
2023/02/23-18:08:13.430528 1900000000 1900000000 218 -1.303 1441 -1.298 1458 1.420
2023/02/23-18:08:13.457242 1900000000 1900000000 220 0.092 1441 0.097 1457 1.419
2023/02/23-18:08:13.478675 1900000000 1900000000 220 -0.293 1442 -0.289 1459 1.420
2023/02/23-18:08:13.498854 1900000000 1900000000 224 -0.083 1439 -0.078 1456 1.416
2023/02/23-18:08:13.518355 1900000000 1900000000 217 1.424 1443 1.428 1459 1.421
2023/02/23-18:08:13.537439 1900000000 1900000000 218 -0.415 1441 -0.410 1458 1.420
2023/02/23-18:08:13.557108 1900000000 1900000000 218 -0.122 1442 -0.118 1458 1.421
2023/02/23-18:08:13.570220 1900000000 1900000000 218 -2.983 1443 -2.977 1459 1.421
2023/02/23-18:08:13.598907 1900000000 1900000000 222 -1.306 1439 -1.301 1456 1.418
2023/02/23-18:08:13.625745 1900000000 1900000000 222 1.770 1439 1.775 1456 1.418
2023/02/23-18:08:13.653634 1900000000 1900000000 217 2.987 1441 2.992 1457 1.421
2023/02/23-18:08:13.678243 1900000000 1900000000 217 -0.496 1438 -0.491 1454 1.421
