DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/23-19:28:28.107457 1900000000 1900000000 419 -0.495 1223 -0.487 1293 1.241
2023/02/23-19:28:28.127434 1900000000 1900000000 411 2.604 1226 2.612 1293 1.247
2023/02/23-19:28:28.151875 1900000000 1900000000 412 -2.427 1225 -2.419 1292 1.246
2023/02/23-19:28:28.163746 1900000000 1900000000 413 -2.977 1224 -2.968 1291 1.246
2023/02/23-19:28:28.197793 1900000000 1900000000 408 -1.796 1226 -1.788 1292 1.250
2023/02/23-19:28:28.219417 1900000000 1900000000 405 1.691 1229 1.699 1294 1.252
2023/02/23-19:28:28.241097 1900000000 1900000000 403 1.825 1231 1.833 1295 1.255
2023/02/23-19:28:28.257834 1900000000 1900000000 402 -3.088 1234 -3.080 1297 1.256
2023/02/23-19:28:28.281776 1900000000 1900000000 400 2.600 1236 2.608 1300 1.258
2023/02/23-19:28:28.306316 1900000000 1900000000 398 -2.972 1240 -2.965 1303 1.260
2023/02/23-19:28:28.325938 1900000000 1900000000 402 -2.812 1241 -2.804 1304 1.258
2023/02/23-19:28:28.354448 1900000000 1900000000 400 2.728 1243 2.736 1306 1.260
2023/02/23-19:28:28.373122 1900000000 1900000000 401 -1.337 1246 -1.329 1309 1.260
2023/02/23-19:28:28.398144 1900000000 1900000000 402 -0.296 1247 -0.288 1310 1.259
2023/02/23-19:28:28.425508 1900000000 1900000000 402 2.717 1249 2.725 1312 1.259
2023/02/23-19:28:28.451440 1900000000 1900000000 405 -2.318 1250 -2.311 1314 1.257
2023/02/23-19:28:28.475030 1900000000 1900000000 404 -2.570 1254 -2.562 1317 1.259
2023/02/23-19:28:28.496917 1900000000 1900000000 399 2.028 1258 2.035 1320 1.264
2023/02/23-19:28:28.519852 1900000000 1900000000 406 -0.127 1256 -0.119 1321 1.258
2023/02/23-19:28:28.545606 1900000000 1900000000 405 -1.192 1257 -1.184 1321 1.259
2023/02/23-19:28:28.569631 1900000000 1900000000 415 2.606 1254 2.613 1321 1.252
2023/02/23-19:28:28.585419 1900000000 1900000000 416 -2.400 1253 -2.392 1320 1.251
2023/02/23-19:28:28.616079 1900000000 1900000000 423 2.178 1250 2.186 1320 1.245
2023/02/23-19:28:28.644448 1900000000 1900000000 421 -0.173 1251 -0.166 1320 1.246
2023/02/23-19:28:28.673512 1900000000 1900000000 423 2.498 1249 2.505 1319 1.244
2023/02/23-19:28:28.700233 1900000000 1900000000 425 1.673 1246 1.681 1317 1.242
2023/02/23-19:28:28.717968 1900000000 1900000000 425 2.405 1245 2.412 1315 1.242
2023/02/23-19:28:28.747012 1900000000 1900000000 425 -3.086 1244 -3.077 1314 1.242
2023/02/23-19:28:28.765505 1900000000 1900000000 422 -2.470 1244 -2.462 1314 1.244
2023/02/23-19:28:28.791159 1900000000 1900000000 420 -1.609 1244 -1.601 1313 1.245
2023/02/23-19:28:28.806752 1900000000 1900000000 424 -0.211 1239 -0.203 1310 1.241
2023/02/23-19:28:28.832674 1900000000 1900000000 424 -2.372 1237 -2.364 1307 1.241
2023/02/23-19:28:28.856081 1900000000 1900000000 424 2.923 1235 2.931 1306 1.240
2023/02/23-19:28:28.872737 1900000000 1900000000 421 2.729 1236 2.737 1306 1.243
2023/02/23-19:28:28.896515 1900000000 1900000000 423 0.359 1233 0.367 1304 1.241
2023/02/23-19:28:28.912869 1900000000 1900000000 427 -2.498 1230 -2.489 1302 1.237
2023/02/23-19:28:28.930704 1900000000 1900000000 424 -2.821 1231 -2.813 1302 1.239
2023/02/23-19:28:28.953642 1900000000 1900000000 418 0.006 1231 0.014 1300 1.244
2023/02/23-19:28:28.983924 1900000000 1900000000 419 0.359 1230 0.367 1300 1.242
2023/02/23-19:28:29.011252 1900000000 1900000000 416 1.721 1231 1.730 1300 1.245
2023/02/23-19:28:29.024619 1900000000 1900000000 413 -0.733 1233 -0.725 1300 1.247
2023/02/23-19:28:29.045243 1900000000 1900000000 413 -2.008 1232 -2.000 1300 1.247
2023/02/23-19:28:29.064559 1900000000 1900000000 415 -2.381 1230 -2.373 1298 1.245
2023/02/23-19:28:29.083494 1900000000 1900000000 413 3.109 1233 3.117 1300 1.248
2023/02/23-19:28:29.110050 1900000000 1900000000 410 1.247 1235 1.255 1301 1.250
2023/02/23-19:28:29.131637 1900000000 1900000000 410 0.959 1235 0.966 1301 1.250
2023/02/23-19:28:29.147595 1900000000 1900000000 411 1.617 1235 1.625 1302 1.249
2023/02/23-19:28:29.167936 1900000000 1900000000 412 -0.503 1235 -0.495 1302 1.249
2023/02/23-19:28:29.189699 1900000000 1900000000 410 0.831 1236 0.839 1303 1.250
2023/02/23-19:28:29.207920 1900000000 1900000000 406 -3.035 1240 -3.028 1305 1.254
2023/02/23-19:28:29.227184 1900000000 1900000000 409 -1.469 1239 -1.461 1305 1.252
2023/02/23-19:28:29.242730 1900000000 1900000000 412 0.833 1239 0.841 1306 1.250
2023/02/23-19:28:29.258772 1900000000 1900000000 408 -1.442 1243 -1.435 1309 1.254
2023/02/23-19:28:29.281470 1900000000 1900000000 410 0.416 1243 0.424 1309 1.252
2023/02/23-19:28:29.302013 1900000000 1900000000 412 -0.087 1243 -0.079 1310 1.251
2023/02/23-19:28:29.325825 1900000000 1900000000 419 1.929 1240 1.937 1309 1.245
2023/02/23-19:28:29.345013 1900000000 1900000000 412 -2.568 1245 -2.560 1311 1.251
2023/02/23-19:28:29.360912 1900000000 1900000000 413 -0.826 1245 -0.818 1311 1.251
2023/02/23-19:28:29.385652 1900000000 1900000000 412 -1.624 1246 -1.616 1312 1.251
2023/02/23-19:28:29.407939 1900000000 1900000000 417 -2.416 1242 -2.408 1310 1.247
2023/02/23-19:28:29.430008 1900000000 1900000000 417 -0.550 1242 -0.542 1310 1.247
2023/02/23-19:28:29.453212 1900000000 1900000000 415 0.167 1244 0.175 1311 1.249
2023/02/23-19:28:29.477783 1900000000 1900000000 419 -1.750 1240 -1.743 1309 1.245
2023/02/23-19:28:29.497599 1900000000 1900000000 415 2.619 1242 2.627 1310 1.249
2023/02/23-19:28:29.512948 1900000000 1900000000 414 -0.927 1242 -0.919 1309 1.249
2023/02/23-19:28:29.537640 1900000000 1900000000 415 2.864 1241 2.872 1309 1.248
2023/02/23-19:28:29.555861 1900000000 1900000000 414 1.699 1241 1.707 1308 1.248
2023/02/23-19:28:29.583534 1900000000 1900000000 414 2.070 1239 2.078 1307 1.248
2023/02/23-19:28:29.598983 1900000000 1900000000 414 0.157 1239 0.165 1307 1.248
2023/02/23-19:28:29.623415 1900000000 1900000000 418 1.609 1235 1.617 1304 1.244
2023/02/23-19:28:29.644272 1900000000 1900000000 412 0.696 1236 0.704 1303 1.249
2023/02/23-19:28:29.677535 1900000000 1900000000 412 -2.080 1235 -2.072 1302 1.249
2023/02/23-19:28:29.703979 1900000000 1900000000 411 -0.580 1234 -0.572 1300 1.249
2023/02/23-19:28:29.731933 1900000000 1900000000 410 -0.200 1233 -0.193 1300 1.250
2023/02/23-19:28:29.748935 1900000000 1900000000 411 -0.243 1231 -0.235 1298 1.248
2023/02/23-19:28:29.775884 1900000000 1900000000 405 0.690 1233 0.698 1298 1.254
2023/02/23-19:28:29.795510 1900000000 1900000000 410 1.519 1228 1.527 1295 1.249
2023/02/23-19:28:29.824583 1900000000 1900000000 406 -1.243 1229 -1.235 1294 1.252
2023/02/23-19:28:29.839253 1900000000 1900000000 406 -0.464 1229 -0.456 1294 1.251
2023/02/23-19:28:29.865519 1900000000 1900000000 408 2.642 1226 2.650 1292 1.250
2023/02/23-19:28:29.892959 1900000000 1900000000 401 0.030 1229 0.038 1293 1.256
2023/02/23-19:28:29.916891 1900000000 1900000000 393 -1.012 1234 -1.004 1295 1.262
2023/02/23-19:28:29.931916 1900000000 1900000000 397 -1.991 1232 -1.983 1294 1.259
2023/02/23-19:28:29.983925 1900000000 1900000000 399 -2.892 1231 -2.884 1294 1.257
2023/02/23-19:28:30.002235 1900000000 1900000000 395 -1.377 1234 -1.369 1295 1.261
2023/02/23-19:28:30.015241 1900000000 1900000000 393 0.370 1235 0.377 1296 1.263
2023/02/23-19:28:30.043532 1900000000 1900000000 391 -1.391 1237 -1.384 1297 1.265
2023/02/23-19:28:30.061942 1900000000 1900000000 392 -2.033 1236 -2.025 1297 1.264
2023/02/23-19:28:30.081894 1900000000 1900000000 391 2.819 1238 2.827 1299 1.265
2023/02/23-19:28:30.104801 1900000000 1900000000 391 -1.887 1238 -1.879 1298 1.265
2023/02/23-19:28:30.126843 1900000000 1900000000 387 -2.384 1241 -2.377 1300 1.268
2023/02/23-19:28:30.147735 1900000000 1900000000 384 1.781 1242 1.788 1300 1.271
2023/02/23-19:28:30.162076 1900000000 1900000000 389 -2.613 1241 -2.606 1300 1.267
2023/02/23-19:28:30.191926 1900000000 1900000000 388 2.731 1242 2.738 1301 1.268
2023/02/23-19:28:30.205914 1900000000 1900000000 389 1.093 1242 1.100 1301 1.267
2023/02/23-19:28:30.228812 1900000000 1900000000 388 -3.070 1243 -3.063 1302 1.268
2023/02/23-19:28:30.256552 1900000000 1900000000 382 2.052 1246 2.060 1303 1.273
2023/02/23-19:28:30.277213 1900000000 1900000000 384 3.011 1244 3.018 1302 1.271
2023/02/23-19:28:30.302327 1900000000 1900000000 384 -2.743 1245 -2.736 1303 1.272
2023/02/23-19:28:30.319343 1900000000 1900000000 384 -1.966 1245 -1.959 1303 1.272
2023/02/23-19:28:30.347435 1900000000 1900000000 384 -2.632 1245 -2.624 1303 1.272
2023/02/23-19:28:30.368453 1900000000 1900000000 385 -1.730 1244 -1.722 1302 1.270
2023/02/23-19:28:30.386193 1900000000 1900000000 387 1.638 1242 1.646 1301 1.269
2023/02/23-19:28:30.414202 1900000000 1900000000 386 -2.046 1242 -2.039 1301 1.269
2023/02/23-19:28:30.433200 1900000000 1900000000 389 -2.626 1241 -2.619 1300 1.267
2023/02/23-19:28:30.464237 1900000000 1900000000 384 2.465 1244 2.472 1302 1.272
2023/02/23-19:28:30.488005 1900000000 1900000000 385 -0.318 1242 -0.310 1301 1.270
2023/02/23-19:28:30.504219 1900000000 1900000000 387 2.683 1241 2.690 1300 1.269
2023/02/23-19:28:30.538388 1900000000 1900000000 386 -2.419 1242 -2.411 1300 1.270
2023/02/23-19:28:30.559966 1900000000 1900000000 386 -0.347 1242 -0.339 1300 1.270
2023/02/23-19:28:30.582652 1900000000 1900000000 384 2.385 1243 2.392 1301 1.271
2023/02/23-19:28:30.612524 1900000000 1900000000 382 2.993 1244 3.000 1301 1.273
2023/02/23-19:28:30.640383 1900000000 1900000000 381 1.681 1245 1.689 1302 1.273
2023/02/23-19:28:30.665915 1900000000 1900000000 378 -1.557 1246 -1.549 1302 1.276
2023/02/23-19:28:30.684728 1900000000 1900000000 378 0.231 1246 0.238 1302 1.276
2023/02/23-19:28:30.705897 1900000000 1900000000 377 -0.452 1247 -0.445 1303 1.277
2023/02/23-19:28:30.721308 1900000000 1900000000 379 1.346 1245 1.353 1301 1.275
2023/02/23-19:28:30.753087 1900000000 1900000000 374 0.096 1248 0.103 1303 1.279
2023/02/23-19:28:30.775415 1900000000 1900000000 372 0.656 1249 0.664 1303 1.281
2023/02/23-19:28:30.793723 1900000000 1900000000 372 2.361 1248 2.368 1302 1.281
2023/02/23-19:28:30.821863 1900000000 1900000000 372 0.355 1249 0.362 1303 1.281
2023/02/23-19:28:30.851578 1900000000 1900000000 373 1.732 1247 1.740 1302 1.280
2023/02/23-19:28:30.872491 1900000000 1900000000 372 -0.439 1248 -0.432 1302 1.281
2023/02/23-19:28:30.890811 1900000000 1900000000 371 0.229 1248 0.236 1302 1.282
2023/02/23-19:28:30.915396 1900000000 1900000000 370 -0.645 1248 -0.638 1302 1.282
2023/02/23-19:28:30.935742 1900000000 1900000000 369 1.276 1248 1.283 1302 1.283
2023/02/23-19:28:30.958941 1900000000 1900000000 367 -3.007 1249 -3.000 1302 1.285
2023/02/23-19:28:30.989116 1900000000 1900000000 371 -2.377 1247 -2.370 1301 1.282
2023/02/23-19:28:31.007151 1900000000 1900000000 372 -1.167 1246 -1.160 1301 1.281
2023/02/23-19:28:31.033009 1900000000 1900000000 372 -1.851 1246 -1.844 1301 1.281
2023/02/23-19:28:31.051591 1900000000 1900000000 369 -3.140 1247 -3.132 1300 1.283
2023/02/23-19:28:31.076246 1900000000 1900000000 370 1.856 1245 1.863 1299 1.282
2023/02/23-19:28:31.096430 1900000000 1900000000 368 1.305 1246 1.312 1300 1.284
2023/02/23-19:28:31.122312 1900000000 1900000000 366 2.819 1248 2.825 1300 1.286
2023/02/23-19:28:31.138162 1900000000 1900000000 364 -2.763 1248 -2.756 1300 1.287
2023/02/23-19:28:31.166127 1900000000 1900000000 368 2.526 1246 2.534 1299 1.284
2023/02/23-19:28:31.182586 1900000000 1900000000 368 0.551 1244 0.558 1298 1.283
2023/02/23-19:28:31.214401 1900000000 1900000000 367 2.578 1246 2.585 1299 1.284
2023/02/23-19:28:31.234236 1900000000 1900000000 363 -0.172 1248 -0.165 1300 1.288
2023/02/23-19:28:31.257922 1900000000 1900000000 366 -0.314 1246 -0.307 1299 1.285
2023/02/23-19:28:31.271634 1900000000 1900000000 361 1.678 1249 1.685 1300 1.289
2023/02/23-19:28:31.300807 1900000000 1900000000 365 1.040 1248 1.048 1300 1.287
2023/02/23-19:28:31.328405 1900000000 1900000000 366 -2.164 1246 -2.157 1299 1.285
2023/02/23-19:28:31.345183 1900000000 1900000000 363 -0.734 1249 -0.726 1301 1.288
2023/02/23-19:28:31.379858 1900000000 1900000000 361 -2.782 1249 -2.775 1300 1.289
2023/02/23-19:28:31.394208 1900000000 1900000000 360 1.239 1249 1.246 1300 1.290
2023/02/23-19:28:31.414914 1900000000 1900000000 363 0.829 1248 0.836 1300 1.288
2023/02/23-19:28:31.435562 1900000000 1900000000 365 0.033 1246 0.040 1299 1.286
2023/02/23-19:28:31.459896 1900000000 1900000000 367 -1.159 1245 -1.152 1298 1.284
2023/02/23-19:28:31.478934 1900000000 1900000000 368 2.549 1246 2.556 1299 1.283
2023/02/23-19:28:31.504484 1900000000 1900000000 368 3.055 1246 3.062 1299 1.283
2023/02/23-19:28:31.525407 1900000000 1900000000 369 -1.302 1245 -1.295 1299 1.282
2023/02/23-19:28:31.548545 1900000000 1900000000 370 2.713 1244 2.719 1298 1.282
2023/02/23-19:28:31.575375 1900000000 1900000000 370 0.980 1245 0.987 1298 1.282
2023/02/23-19:28:31.594582 1900000000 1900000000 372 1.038 1244 1.046 1298 1.280
2023/02/23-19:28:31.622625 1900000000 1900000000 376 0.762 1242 0.770 1297 1.277
2023/02/23-19:28:31.637539 1900000000 1900000000 371 -0.281 1244 -0.274 1298 1.281
2023/02/23-19:28:31.664709 1900000000 1900000000 371 2.927 1244 2.934 1298 1.281
2023/02/23-19:28:31.690394 1900000000 1900000000 376 1.199 1241 1.207 1297 1.276
2023/02/23-19:28:31.708893 1900000000 1900000000 375 -1.351 1242 -1.343 1298 1.277
2023/02/23-19:28:31.733393 1900000000 1900000000 377 2.419 1240 2.426 1296 1.276
2023/02/23-19:28:31.749935 1900000000 1900000000 375 1.933 1243 1.940 1298 1.278
2023/02/23-19:28:31.775001 1900000000 1900000000 375 -1.900 1243 -1.892 1298 1.278
2023/02/23-19:28:31.808299 1900000000 1900000000 376 1.369 1243 1.377 1298 1.277
2023/02/23-19:28:31.834432 1900000000 1900000000 374 -1.988 1244 -1.981 1299 1.278
