DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/23-14:21:55.108740 1900000000 1900000000 1534 -2.541 37 0.568 1535 0.024
2023/02/23-14:21:55.137032 1900000000 1900000000 1534 1.583 36 -1.595 1535 0.024
2023/02/23-14:21:55.157508 1900000000 1900000000 1533 -1.282 39 1.823 1534 0.025
2023/02/23-14:21:55.183711 1900000000 1900000000 1532 -0.977 41 2.136 1532 0.027
2023/02/23-14:21:55.201807 1900000000 1900000000 1534 -2.914 37 0.194 1534 0.024
2023/02/23-14:21:55.228558 1900000000 1900000000 1532 -2.190 38 0.917 1532 0.025
2023/02/23-14:21:55.257210 1900000000 1900000000 1532 -1.252 39 1.857 1532 0.026
2023/02/23-14:21:55.278420 1900000000 1900000000 1532 -1.732 37 1.372 1532 0.024
2023/02/23-14:21:55.301749 1900000000 1900000000 1532 -1.687 38 1.420 1532 0.025
2023/02/23-14:21:55.322860 1900000000 1900000000 1533 -2.913 35 0.193 1534 0.023
2023/02/23-14:21:55.341739 1900000000 1900000000 1533 -2.083 38 1.027 1533 0.025
2023/02/23-14:21:55.369861 1900000000 1900000000 1533 -0.117 37 2.990 1534 0.024
2023/02/23-14:21:55.389783 1900000000 1900000000 1534 -0.428 36 2.679 1534 0.023
2023/02/23-14:21:55.409878 1900000000 1900000000 1535 -3.118 35 -0.015 1535 0.023
2023/02/23-14:21:55.436222 1900000000 1900000000 1535 1.825 36 -1.352 1536 0.024
2023/02/23-14:21:55.457842 1900000000 1900000000 1534 -2.550 37 0.556 1535 0.024
2023/02/23-14:21:55.478346 1900000000 1900000000 1534 -0.926 39 2.190 1535 0.026
2023/02/23-14:21:55.495173 1900000000 1900000000 1535 -2.387 39 0.716 1536 0.025
2023/02/23-14:21:55.521139 1900000000 1900000000 1533 -1.682 38 1.423 1534 0.025
2023/02/23-14:21:55.535729 1900000000 1900000000 1535 -1.624 37 1.491 1535 0.024
2023/02/23-14:21:55.554876 1900000000 1900000000 1532 -0.123 41 2.990 1533 0.027
2023/02/23-14:21:55.573210 1900000000 1900000000 1533 1.917 40 -1.255 1533 0.026
2023/02/23-14:21:55.592275 1900000000 1900000000 1534 1.162 40 -2.013 1534 0.026
2023/02/23-14:21:55.621708 1900000000 1900000000 1533 -2.238 39 0.868 1533 0.026
2023/02/23-14:21:55.636574 1900000000 1900000000 1533 2.034 40 -1.135 1534 0.026
2023/02/23-14:21:55.660183 1900000000 1900000000 1532 1.523 42 -1.652 1533 0.028
2023/02/23-14:21:55.685847 1900000000 1900000000 1534 -2.112 40 1.000 1534 0.026
2023/02/23-14:21:55.709712 1900000000 1900000000 1533 -0.102 39 3.009 1534 0.025
2023/02/23-14:21:55.733871 1900000000 1900000000 1535 1.103 36 -2.070 1535 0.024
2023/02/23-14:21:55.760073 1900000000 1900000000 1534 -0.815 39 2.295 1534 0.025
2023/02/23-14:21:55.783423 1900000000 1900000000 1535 0.755 35 -2.420 1536 0.023
2023/02/23-14:21:55.797984 1900000000 1900000000 1533 1.024 38 -2.148 1534 0.025
2023/02/23-14:21:55.814485 1900000000 1900000000 1534 -0.251 38 2.861 1535 0.025
2023/02/23-14:21:55.837657 1900000000 1900000000 1535 1.225 39 -1.955 1535 0.025
2023/02/23-14:21:55.864906 1900000000 1900000000 1533 -0.705 38 2.407 1534 0.025
