DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/24-10:20:29.803384 1900000000 1900000000 1577 -0.090 387 3.039 1624 0.240
2023/02/24-10:20:29.832298 1900000000 1900000000 1577 1.831 387 -1.324 1624 0.241
2023/02/24-10:20:29.852225 1900000000 1900000000 1575 -2.484 389 0.645 1623 0.242
2023/02/24-10:20:29.880430 1900000000 1900000000 1576 2.217 386 -0.936 1623 0.240
2023/02/24-10:20:29.896820 1900000000 1900000000 1577 -1.117 386 2.012 1623 0.240
2023/02/24-10:20:29.922161 1900000000 1900000000 1578 1.772 386 -1.383 1624 0.240
2023/02/24-10:20:29.942516 1900000000 1900000000 1576 1.713 387 -1.441 1623 0.241
2023/02/24-10:20:29.964978 1900000000 1900000000 1573 1.044 390 -2.110 1621 0.243
2023/02/24-10:20:29.981763 1900000000 1900000000 1574 -1.559 389 1.570 1621 0.242
2023/02/24-10:20:30.002802 1900000000 1900000000 1577 2.095 387 -1.059 1624 0.241
2023/02/24-10:20:30.034077 1900000000 1900000000 1576 -1.539 388 1.591 1623 0.241
2023/02/24-10:20:30.055681 1900000000 1900000000 1577 -0.876 387 2.253 1624 0.241
2023/02/24-10:20:30.077580 1900000000 1900000000 1573 -0.927 391 2.203 1621 0.244
2023/02/24-10:20:30.096388 1900000000 1900000000 1575 0.296 389 -2.858 1622 0.242
2023/02/24-10:20:30.119255 1900000000 1900000000 1574 0.586 390 -2.568 1622 0.243
2023/02/24-10:20:30.140245 1900000000 1900000000 1574 0.405 388 -2.749 1621 0.242
2023/02/24-10:20:30.169756 1900000000 1900000000 1573 -2.626 390 0.503 1621 0.243
2023/02/24-10:20:30.186491 1900000000 1900000000 1573 -0.550 389 2.579 1621 0.243
2023/02/24-10:20:30.211049 1900000000 1900000000 1574 0.639 389 -2.516 1622 0.242
2023/02/24-10:20:30.231009 1900000000 1900000000 1574 -0.861 390 2.268 1621 0.243
2023/02/24-10:20:30.253060 1900000000 1900000000 1575 -2.674 389 0.456 1622 0.242
2023/02/24-10:20:30.275596 1900000000 1900000000 1576 -2.785 387 0.345 1623 0.241
2023/02/24-10:20:30.288044 1900000000 1900000000 1577 2.669 386 -0.486 1624 0.240
2023/02/24-10:20:30.314459 1900000000 1900000000 1575 -2.497 387 0.631 1622 0.241
2023/02/24-10:20:30.341741 1900000000 1900000000 1574 2.859 386 -0.294 1621 0.241
2023/02/24-10:20:30.356933 1900000000 1900000000 1574 1.705 389 -1.449 1621 0.242
2023/02/24-10:20:30.391653 1900000000 1900000000 1574 -1.343 388 1.785 1621 0.242
2023/02/24-10:20:30.410066 1900000000 1900000000 1574 -1.553 388 1.577 1621 0.242
2023/02/24-10:20:30.428139 1900000000 1900000000 1575 -2.103 389 1.026 1622 0.242
2023/02/24-10:20:30.453535 1900000000 1900000000 1574 -2.768 389 0.362 1622 0.242
2023/02/24-10:20:30.472309 1900000000 1900000000 1572 1.882 390 -1.272 1620 0.243
2023/02/24-10:20:30.497616 1900000000 1900000000 1573 -0.943 391 2.186 1621 0.244
2023/02/24-10:20:30.524568 1900000000 1900000000 1574 -0.806 389 2.323 1622 0.242
2023/02/24-10:20:30.552403 1900000000 1900000000 1573 -2.799 390 0.330 1620 0.243
2023/02/24-10:20:30.577115 1900000000 1900000000 1575 1.856 387 -1.298 1622 0.241
2023/02/24-10:20:30.598446 1900000000 1900000000 1573 -2.433 390 0.696 1621 0.243
2023/02/24-10:20:30.622035 1900000000 1900000000 1575 -2.656 388 0.472 1622 0.242
2023/02/24-10:20:30.645343 1900000000 1900000000 1573 -1.849 391 1.280 1621 0.244
2023/02/24-10:20:30.663864 1900000000 1900000000 1575 2.921 388 -0.234 1622 0.242
2023/02/24-10:20:30.685111 1900000000 1900000000 1575 -0.520 387 2.609 1621 0.241
2023/02/24-10:20:30.719898 1900000000 1900000000 1574 2.663 389 -0.491 1622 0.242
2023/02/24-10:20:30.743702 1900000000 1900000000 1574 1.066 388 -2.088 1621 0.242
2023/02/24-10:20:30.769673 1900000000 1900000000 1574 1.739 389 -1.414 1621 0.242
2023/02/24-10:20:30.787954 1900000000 1900000000 1573 -2.290 390 0.838 1621 0.243
