DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/23-15:28:09.910307 1900000000 1900000000 1353 2.051 244 -1.093 1374 0.178
2023/02/23-15:28:09.941213 1900000000 1900000000 1352 -2.978 244 0.160 1374 0.179
2023/02/23-15:28:09.952542 1900000000 1900000000 1351 -0.446 245 2.692 1373 0.179
2023/02/23-15:28:09.981134 1900000000 1900000000 1352 -0.724 243 2.414 1373 0.178
2023/02/23-15:28:10.010095 1900000000 1900000000 1350 -1.426 248 1.712 1372 0.182
2023/02/23-15:28:10.036810 1900000000 1900000000 1347 -2.806 251 0.333 1371 0.184
2023/02/23-15:28:10.048593 1900000000 1900000000 1349 -1.358 247 1.780 1371 0.181
2023/02/23-15:28:10.068077 1900000000 1900000000 1350 2.093 248 -1.051 1373 0.182
2023/02/23-15:28:10.093289 1900000000 1900000000 1350 -0.969 248 2.170 1373 0.182
2023/02/23-15:28:10.114582 1900000000 1900000000 1348 -2.892 251 0.246 1371 0.184
2023/02/23-15:28:10.132051 1900000000 1900000000 1350 0.002 246 3.140 1373 0.180
2023/02/23-15:28:10.151818 1900000000 1900000000 1351 1.095 245 -2.049 1373 0.180
2023/02/23-15:28:10.177044 1900000000 1900000000 1348 -1.982 250 1.156 1371 0.183
2023/02/23-15:28:10.192841 1900000000 1900000000 1346 -2.694 254 0.443 1369 0.187
2023/02/23-15:28:10.215943 1900000000 1900000000 1346 -1.153 252 1.985 1370 0.185
2023/02/23-15:28:10.240434 1900000000 1900000000 1348 2.273 248 -0.872 1371 0.182
2023/02/23-15:28:10.270898 1900000000 1900000000 1349 2.596 248 -0.548 1372 0.182
2023/02/23-15:28:10.292169 1900000000 1900000000 1352 -2.941 243 0.198 1374 0.178
2023/02/23-15:28:10.312907 1900000000 1900000000 1355 0.446 239 -2.698 1376 0.174
2023/02/23-15:28:10.340315 1900000000 1900000000 1353 0.095 243 -3.050 1375 0.177
2023/02/23-15:28:10.366143 1900000000 1900000000 1351 -2.405 248 0.734 1373 0.181
2023/02/23-15:28:10.384876 1900000000 1900000000 1348 -2.319 251 0.820 1371 0.184
2023/02/23-15:28:10.411917 1900000000 1900000000 1348 -1.712 251 1.426 1371 0.184
2023/02/23-15:28:10.430165 1900000000 1900000000 1350 -3.033 248 0.105 1372 0.182
2023/02/23-15:28:10.449914 1900000000 1900000000 1349 0.626 249 -2.519 1372 0.182
2023/02/23-15:28:10.474630 1900000000 1900000000 1346 0.690 252 -2.455 1370 0.185
2023/02/23-15:28:10.496295 1900000000 1900000000 1349 -1.410 247 1.728 1371 0.181
2023/02/23-15:28:10.524888 1900000000 1900000000 1350 1.433 248 -1.711 1372 0.182
2023/02/23-15:28:10.545045 1900000000 1900000000 1350 2.908 247 -0.238 1372 0.181
2023/02/23-15:28:10.561286 1900000000 1900000000 1350 1.056 246 -2.088 1373 0.180
2023/02/23-15:28:10.590703 1900000000 1900000000 1350 3.113 246 -0.031 1372 0.180
2023/02/23-15:28:10.609307 1900000000 1900000000 1348 2.531 248 -0.614 1371 0.182
2023/02/23-15:28:10.626946 1900000000 1900000000 1349 -2.072 249 1.066 1372 0.182
2023/02/23-15:28:10.653153 1900000000 1900000000 1349 -1.198 250 1.939 1372 0.183
2023/02/23-15:28:10.679488 1900000000 1900000000 1349 -0.016 250 3.122 1372 0.183
2023/02/23-15:28:10.701968 1900000000 1900000000 1351 2.904 245 -0.240 1373 0.179
2023/02/23-15:28:10.723008 1900000000 1900000000 1350 1.566 247 -1.580 1373 0.181
2023/02/23-15:28:10.744543 1900000000 1900000000 1350 -0.929 248 2.209 1372 0.182
2023/02/23-15:28:10.765353 1900000000 1900000000 1349 0.685 248 -2.461 1371 0.182
2023/02/23-15:28:10.786571 1900000000 1900000000 1350 2.371 247 -0.774 1373 0.181
2023/02/23-15:28:10.812118 1900000000 1900000000 1349 -1.945 247 1.193 1372 0.181
2023/02/23-15:28:10.828825 1900000000 1900000000 1351 1.533 246 -1.611 1373 0.180
2023/02/23-15:28:10.852466 1900000000 1900000000 1348 1.019 249 -2.126 1371 0.183
2023/02/23-15:28:10.871603 1900000000 1900000000 1348 -2.323 250 0.815 1371 0.184
2023/02/23-15:28:10.891139 1900000000 1900000000 1351 -1.491 246 1.648 1374 0.180
2023/02/23-15:28:10.916578 1900000000 1900000000 1349 3.051 249 -0.093 1372 0.183
2023/02/23-15:28:10.938323 1900000000 1900000000 1349 2.786 249 -0.360 1372 0.182
2023/02/23-15:28:10.965362 1900000000 1900000000 1346 1.396 253 -1.748 1370 0.186
2023/02/23-15:28:10.986162 1900000000 1900000000 1347 1.515 253 -1.629 1370 0.186
2023/02/23-15:28:11.012031 1900000000 1900000000 1346 -2.275 253 0.863 1369 0.186
2023/02/23-15:28:11.028938 1900000000 1900000000 1349 -2.670 251 0.468 1372 0.184
2023/02/23-15:28:11.052936 1900000000 1900000000 1350 1.167 248 -1.977 1373 0.182
2023/02/23-15:28:11.069778 1900000000 1900000000 1350 2.243 248 -0.902 1372 0.182
2023/02/23-15:28:11.095702 1900000000 1900000000 1349 -0.575 250 2.564 1372 0.183
2023/02/23-15:28:11.114928 1900000000 1900000000 1350 -0.900 247 2.238 1372 0.181
2023/02/23-15:28:11.144131 1900000000 1900000000 1347 0.803 246 -2.342 1370 0.181
2023/02/23-15:28:11.162220 1900000000 1900000000 1349 -2.739 242 0.399 1371 0.178
2023/02/23-15:28:11.185025 1900000000 1900000000 1344 0.113 244 -3.031 1366 0.179
2023/02/23-15:28:11.211572 1900000000 1900000000 1344 -1.388 239 1.749 1365 0.176
2023/02/23-15:28:11.227338 1900000000 1900000000 1339 -2.951 243 0.187 1361 0.180
2023/02/23-15:28:11.259728 1900000000 1900000000 1337 -2.547 236 0.591 1358 0.174
2023/02/23-15:28:11.282344 1900000000 1900000000 1338 -1.299 231 1.840 1358 0.171
2023/02/23-15:28:11.301826 1900000000 1900000000 1331 2.016 237 -1.129 1352 0.176
2023/02/23-15:28:11.328480 1900000000 1900000000 1324 0.744 240 -2.401 1346 0.179
