DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/21-18:55:54.013635 1900000000 1900000000 405 2.968 1368 2.972 1427 1.283
2023/02/21-18:55:54.032204 1900000000 1900000000 402 0.859 1369 0.864 1427 1.285
2023/02/21-18:55:54.057090 1900000000 1900000000 401 -3.053 1370 -3.049 1428 1.286
2023/02/21-18:55:54.094401 1900000000 1900000000 403 -0.547 1369 -0.542 1427 1.285
2023/02/21-18:55:54.112565 1900000000 1900000000 400 -1.213 1370 -1.208 1427 1.287
2023/02/21-18:55:54.134757 1900000000 1900000000 406 1.543 1367 1.548 1426 1.282
2023/02/21-18:55:54.150473 1900000000 1900000000 400 0.089 1371 0.094 1428 1.287
2023/02/21-18:55:54.180704 1900000000 1900000000 404 -0.684 1369 -0.680 1427 1.284
2023/02/21-18:55:54.191104 1900000000 1900000000 399 -2.219 1371 -2.215 1428 1.288
2023/02/21-18:55:54.229278 1900000000 1900000000 400 1.518 1370 1.522 1427 1.286
2023/02/21-18:55:54.247180 1900000000 1900000000 402 -1.241 1369 -1.237 1427 1.285
2023/02/21-18:55:54.268397 1900000000 1900000000 401 -0.058 1370 -0.052 1427 1.286
2023/02/21-18:55:54.292699 1900000000 1900000000 411 0.069 1365 0.073 1426 1.278
2023/02/21-18:55:54.315442 1900000000 1900000000 405 1.982 1368 1.986 1427 1.283
2023/02/21-18:55:54.331447 1900000000 1900000000 402 2.108 1369 2.112 1426 1.285
2023/02/21-18:55:54.357250 1900000000 1900000000 402 -2.188 1369 -2.184 1427 1.285
2023/02/21-18:55:54.377607 1900000000 1900000000 401 -1.876 1370 -1.872 1428 1.286
2023/02/21-18:55:54.425055 1900000000 1900000000 404 2.596 1368 2.601 1427 1.284
2023/02/21-18:55:54.476707 1900000000 1900000000 404 -2.709 1367 -2.704 1426 1.283
2023/02/21-18:55:54.500062 1900000000 1900000000 407 -1.873 1367 -1.868 1426 1.282
2023/02/21-18:55:54.523986 1900000000 1900000000 404 1.274 1368 1.278 1427 1.284
