DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/24-14:09:42.125712 1900000000 1900000000 127 -0.307 1466 -0.296 1472 1.485
2023/02/24-14:09:42.153485 1900000000 1900000000 127 1.960 1468 1.972 1473 1.485
2023/02/24-14:09:42.174627 1900000000 1900000000 128 1.487 1466 1.498 1471 1.484
2023/02/24-14:09:42.196379 1900000000 1900000000 128 2.066 1465 2.077 1471 1.483
2023/02/24-14:09:42.221281 1900000000 1900000000 130 -0.693 1465 -0.679 1471 1.482
2023/02/24-14:09:42.245878 1900000000 1900000000 125 1.771 1467 1.782 1473 1.486
2023/02/24-14:09:42.270057 1900000000 1900000000 132 -1.090 1464 -1.079 1470 1.481
2023/02/24-14:09:42.290885 1900000000 1900000000 131 1.211 1464 1.222 1470 1.482
2023/02/24-14:09:42.310829 1900000000 1900000000 128 1.767 1465 1.779 1471 1.484
2023/02/24-14:09:42.334229 1900000000 1900000000 130 2.901 1465 2.914 1471 1.482
2023/02/24-14:09:42.358191 1900000000 1900000000 129 -1.242 1465 -1.230 1470 1.483
2023/02/24-14:09:42.373515 1900000000 1900000000 124 -0.370 1468 -0.356 1474 1.486
2023/02/24-14:09:42.398686 1900000000 1900000000 126 -2.659 1467 -2.649 1472 1.485
2023/02/24-14:09:42.414952 1900000000 1900000000 130 2.171 1465 2.181 1471 1.482
2023/02/24-14:09:42.436395 1900000000 1900000000 129 -0.510 1465 -0.497 1471 1.483
2023/02/24-14:09:42.456929 1900000000 1900000000 128 -0.716 1466 -0.703 1471 1.483
2023/02/24-14:09:42.476612 1900000000 1900000000 129 3.090 1466 3.101 1471 1.483
2023/02/24-14:09:42.502110 1900000000 1900000000 130 -1.566 1464 -1.556 1470 1.482
2023/02/24-14:09:42.530698 1900000000 1900000000 129 -1.670 1466 -1.658 1471 1.483
2023/02/24-14:09:42.550153 1900000000 1900000000 129 0.691 1465 0.702 1471 1.483
2023/02/24-14:09:42.576131 1900000000 1900000000 131 -2.045 1464 -2.035 1469 1.482
2023/02/24-14:09:42.600197 1900000000 1900000000 131 1.312 1464 1.323 1470 1.482
2023/02/24-14:09:42.626891 1900000000 1900000000 129 -0.970 1464 -0.958 1470 1.483
2023/02/24-14:09:42.638460 1900000000 1900000000 129 1.616 1465 1.627 1471 1.483
2023/02/24-14:09:42.665544 1900000000 1900000000 127 1.237 1466 1.248 1472 1.485
2023/02/24-14:09:42.680117 1900000000 1900000000 132 -2.560 1464 -2.549 1470 1.481
2023/02/24-14:09:42.713749 1900000000 1900000000 128 0.128 1467 0.141 1472 1.484
2023/02/24-14:09:42.734662 1900000000 1900000000 131 0.255 1463 0.267 1469 1.482
2023/02/24-14:09:42.754574 1900000000 1900000000 131 -0.430 1464 -0.418 1470 1.482
2023/02/24-14:09:42.775962 1900000000 1900000000 131 1.239 1464 1.251 1469 1.482
2023/02/24-14:09:42.791458 1900000000 1900000000 131 -2.649 1463 -2.639 1469 1.481
2023/02/24-14:09:42.811114 1900000000 1900000000 129 -0.630 1463 -0.619 1469 1.483
2023/02/24-14:09:42.837824 1900000000 1900000000 131 -1.133 1463 -1.122 1469 1.481
2023/02/24-14:09:42.854983 1900000000 1900000000 133 2.122 1461 2.134 1468 1.480
2023/02/24-14:09:42.873046 1900000000 1900000000 136 -2.400 1459 -2.388 1466 1.478
2023/02/24-14:09:42.901269 1900000000 1900000000 131 0.810 1463 0.823 1469 1.482
2023/02/24-14:09:42.927264 1900000000 1900000000 130 1.206 1464 1.218 1469 1.482
2023/02/24-14:09:42.935693 1900000000 1900000000 129 -1.686 1465 -1.675 1471 1.483
2023/02/24-14:09:42.967457 1900000000 1900000000 126 -0.117 1467 -0.104 1472 1.485
2023/02/24-14:09:42.985016 1900000000 1900000000 131 0.476 1464 0.489 1470 1.481
2023/02/24-14:09:43.011370 1900000000 1900000000 131 1.518 1464 1.529 1469 1.482
2023/02/24-14:09:43.034280 1900000000 1900000000 130 0.864 1465 0.875 1471 1.482
2023/02/24-14:09:43.047263 1900000000 1900000000 134 -2.115 1465 -2.103 1471 1.479
2023/02/24-14:09:43.065728 1900000000 1900000000 131 0.860 1469 0.873 1474 1.482
2023/02/24-14:09:43.085095 1900000000 1900000000 134 -0.633 1469 -0.622 1475 1.480
2023/02/24-14:09:43.105831 1900000000 1900000000 134 -1.677 1471 -1.666 1477 1.480
2023/02/24-14:09:43.134653 1900000000 1900000000 134 -0.760 1474 -0.747 1480 1.480
2023/02/24-14:09:43.150258 1900000000 1900000000 130 -1.693 1476 -1.681 1482 1.483
2023/02/24-14:09:43.170524 1900000000 1900000000 132 -2.078 1474 -2.066 1480 1.481
2023/02/24-14:09:43.189899 1900000000 1900000000 128 -2.414 1476 -2.402 1482 1.484
2023/02/24-14:09:43.211574 1900000000 1900000000 131 -2.224 1477 -2.212 1483 1.482
2023/02/24-14:09:43.230403 1900000000 1900000000 132 0.521 1475 0.533 1481 1.481
2023/02/24-14:09:43.254190 1900000000 1900000000 132 -2.563 1476 -2.550 1482 1.481
2023/02/24-14:09:43.273464 1900000000 1900000000 139 1.402 1470 1.415 1477 1.476
2023/02/24-14:09:43.307681 1900000000 1900000000 136 0.094 1471 0.105 1478 1.478
2023/02/24-14:09:43.331085 1900000000 1900000000 137 -2.027 1468 -2.016 1474 1.478
2023/02/24-14:09:43.349036 1900000000 1900000000 138 2.429 1466 2.440 1472 1.477
2023/02/24-14:09:43.379414 1900000000 1900000000 135 1.996 1464 2.007 1470 1.479
2023/02/24-14:09:43.406238 1900000000 1900000000 136 -1.548 1461 -1.536 1467 1.478
2023/02/24-14:09:43.429691 1900000000 1900000000 135 1.820 1459 1.832 1466 1.478
2023/02/24-14:09:43.446850 1900000000 1900000000 136 -1.777 1456 -1.766 1463 1.478
2023/02/24-14:09:43.459622 1900000000 1900000000 135 -2.311 1457 -2.300 1463 1.479
2023/02/24-14:09:43.475581 1900000000 1900000000 134 0.978 1455 0.990 1462 1.479
2023/02/24-14:09:43.496840 1900000000 1900000000 130 2.389 1454 2.400 1460 1.482
2023/02/24-14:09:43.524264 1900000000 1900000000 133 -0.858 1451 -0.849 1457 1.479
2023/02/24-14:09:43.541896 1900000000 1900000000 128 0.052 1453 0.062 1458 1.483
2023/02/24-14:09:43.567560 1900000000 1900000000 128 0.734 1452 0.746 1457 1.483
2023/02/24-14:09:43.582148 1900000000 1900000000 125 -2.561 1453 -2.547 1458 1.485
2023/02/24-14:09:43.608874 1900000000 1900000000 122 -1.986 1452 -1.974 1457 1.487
2023/02/24-14:09:43.627073 1900000000 1900000000 120 1.382 1452 1.394 1457 1.488
2023/02/24-14:09:43.648077 1900000000 1900000000 119 1.241 1451 1.253 1456 1.489
2023/02/24-14:09:43.669151 1900000000 1900000000 114 1.802 1453 1.815 1457 1.493
2023/02/24-14:09:43.689272 1900000000 1900000000 114 -3.053 1452 -3.040 1457 1.493
2023/02/24-14:09:43.715918 1900000000 1900000000 113 2.958 1451 2.970 1456 1.493
2023/02/24-14:09:43.729180 1900000000 1900000000 109 2.732 1453 2.745 1457 1.496
2023/02/24-14:09:43.752821 1900000000 1900000000 109 -2.460 1450 -2.445 1455 1.495
2023/02/24-14:09:43.779531 1900000000 1900000000 110 3.029 1449 3.042 1454 1.495
2023/02/24-14:09:43.794050 1900000000 1900000000 107 -2.164 1450 -2.150 1454 1.497
2023/02/24-14:09:43.817015 1900000000 1900000000 109 0.451 1450 0.465 1454 1.495
2023/02/24-14:09:43.836245 1900000000 1900000000 102 1.244 1452 1.259 1455 1.500
2023/02/24-14:09:43.865091 1900000000 1900000000 102 -0.155 1452 -0.140 1456 1.500
2023/02/24-14:09:43.893205 1900000000 1900000000 98 0.613 1454 0.627 1457 1.503
2023/02/24-14:09:43.906182 1900000000 1900000000 104 -0.546 1451 -0.535 1455 1.499
2023/02/24-14:09:43.935919 1900000000 1900000000 104 0.732 1452 0.745 1456 1.499
