DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/22-11:44:28.601485 1900000000 1900000000 434 2.049 1607 -1.129 1664 1.307
2023/02/22-11:44:28.618186 1900000000 1900000000 430 -0.186 1609 2.919 1665 1.309
2023/02/22-11:44:28.640285 1900000000 1900000000 433 0.622 1606 -2.557 1664 1.308
2023/02/22-11:44:28.678106 1900000000 1900000000 429 -0.980 1610 2.125 1666 1.310
2023/02/22-11:44:28.708500 1900000000 1900000000 429 2.733 1609 -0.445 1665 1.311
2023/02/22-11:44:28.731546 1900000000 1900000000 435 2.181 1605 -0.997 1663 1.306
2023/02/22-11:44:28.756705 1900000000 1900000000 432 0.986 1607 -2.192 1664 1.308
2023/02/22-11:44:28.777384 1900000000 1900000000 428 -0.041 1610 3.064 1666 1.311
2023/02/22-11:44:28.795503 1900000000 1900000000 429 -3.063 1609 0.041 1665 1.310
2023/02/22-11:44:28.817768 1900000000 1900000000 428 2.806 1611 -0.372 1666 1.311
2023/02/22-11:44:28.835770 1900000000 1900000000 430 1.647 1608 -1.531 1665 1.309
2023/02/22-11:44:28.864568 1900000000 1900000000 427 -2.609 1611 0.496 1667 1.312
2023/02/22-11:44:28.880452 1900000000 1900000000 433 -0.384 1607 2.721 1664 1.308
2023/02/22-11:44:28.905529 1900000000 1900000000 436 2.661 1605 -0.517 1663 1.306
2023/02/22-11:44:28.921035 1900000000 1900000000 435 -2.462 1605 0.642 1663 1.306
2023/02/22-11:44:28.942401 1900000000 1900000000 434 -2.725 1605 0.380 1663 1.307
2023/02/22-11:44:28.963623 1900000000 1900000000 435 1.617 1605 -1.561 1663 1.306
2023/02/22-11:44:28.980266 1900000000 1900000000 431 -0.226 1607 2.878 1664 1.309
2023/02/22-11:44:29.001103 1900000000 1900000000 435 1.776 1604 -1.402 1662 1.306
2023/02/22-11:44:29.022574 1900000000 1900000000 437 0.010 1603 3.115 1662 1.305
2023/02/22-11:44:29.049897 1900000000 1900000000 435 2.683 1604 -0.494 1662 1.306
2023/02/22-11:44:29.069179 1900000000 1900000000 431 2.498 1607 -0.679 1664 1.309
2023/02/22-11:44:29.097413 1900000000 1900000000 436 0.448 1604 -2.730 1662 1.305
2023/02/22-11:44:29.116512 1900000000 1900000000 438 1.857 1603 -1.320 1662 1.304
2023/02/22-11:44:29.135570 1900000000 1900000000 431 1.905 1608 -1.273 1664 1.309
2023/02/22-11:44:29.154087 1900000000 1900000000 432 1.138 1607 -2.040 1664 1.308
2023/02/22-11:44:29.181739 1900000000 1900000000 431 -0.839 1607 2.266 1664 1.309
2023/02/22-11:44:29.198856 1900000000 1900000000 431 0.526 1607 -2.654 1664 1.309
2023/02/22-11:44:29.220330 1900000000 1900000000 430 -1.996 1608 1.108 1664 1.309
2023/02/22-11:44:29.246739 1900000000 1900000000 428 -2.440 1609 0.664 1665 1.311
2023/02/22-11:44:29.267455 1900000000 1900000000 430 -2.004 1608 1.101 1665 1.309
2023/02/22-11:44:29.288111 1900000000 1900000000 431 -2.120 1607 0.985 1664 1.309
2023/02/22-11:44:29.312188 1900000000 1900000000 432 -3.050 1607 0.055 1664 1.308
2023/02/22-11:44:29.333569 1900000000 1900000000 434 -3.002 1605 0.102 1663 1.307
2023/02/22-11:44:29.360320 1900000000 1900000000 429 1.843 1608 -1.335 1664 1.310
2023/02/22-11:44:29.382556 1900000000 1900000000 433 2.928 1605 -0.251 1662 1.307
2023/02/22-11:44:29.404299 1900000000 1900000000 433 -0.500 1606 2.605 1663 1.307
2023/02/22-11:44:29.426386 1900000000 1900000000 431 0.976 1607 -2.203 1664 1.309
2023/02/22-11:44:29.452382 1900000000 1900000000 433 -1.322 1606 1.783 1663 1.308
2023/02/22-11:44:29.478326 1900000000 1900000000 432 -0.333 1606 2.771 1663 1.308
2023/02/22-11:44:29.507866 1900000000 1900000000 433 0.308 1605 -2.870 1663 1.307
2023/02/22-11:44:29.533397 1900000000 1900000000 436 -0.568 1603 2.537 1662 1.305
2023/02/22-11:44:29.546158 1900000000 1900000000 435 2.252 1604 -0.925 1662 1.306
2023/02/22-11:44:29.572895 1900000000 1900000000 432 0.130 1606 -3.049 1663 1.308
2023/02/22-11:44:29.590414 1900000000 1900000000 433 2.509 1606 -0.670 1663 1.307
2023/02/22-11:44:29.614582 1900000000 1900000000 434 -2.919 1605 0.187 1662 1.307
2023/02/22-11:44:29.643604 1900000000 1900000000 435 2.261 1604 -0.918 1662 1.306
2023/02/22-11:44:29.661481 1900000000 1900000000 430 2.781 1608 -0.397 1664 1.309
2023/02/22-11:44:29.686835 1900000000 1900000000 435 -0.219 1605 2.887 1663 1.306
2023/02/22-11:44:29.698862 1900000000 1900000000 435 0.252 1605 -2.927 1663 1.306
2023/02/22-11:44:29.728538 1900000000 1900000000 431 0.241 1608 -2.938 1664 1.309
2023/02/22-11:44:29.762358 1900000000 1900000000 433 2.790 1606 -0.388 1663 1.307
2023/02/22-11:44:29.791887 1900000000 1900000000 436 2.220 1605 -0.958 1663 1.306
2023/02/22-11:44:29.813962 1900000000 1900000000 432 -0.825 1606 2.279 1663 1.308
2023/02/22-11:44:29.835058 1900000000 1900000000 431 -2.041 1607 1.063 1664 1.309
2023/02/22-11:44:29.855723 1900000000 1900000000 433 -0.705 1606 2.401 1663 1.307
2023/02/22-11:44:29.882473 1900000000 1900000000 438 2.606 1602 -0.572 1661 1.304
2023/02/22-11:44:29.898264 1900000000 1900000000 433 -2.596 1606 0.509 1663 1.307
2023/02/22-11:44:29.919410 1900000000 1900000000 430 -2.336 1607 0.769 1663 1.309
2023/02/22-11:44:29.946962 1900000000 1900000000 431 2.992 1606 -0.187 1663 1.309
2023/02/22-11:44:29.964795 1900000000 1900000000 431 1.205 1607 -1.974 1664 1.309
2023/02/22-11:44:29.984718 1900000000 1900000000 431 -1.614 1607 1.490 1664 1.309
2023/02/22-11:44:30.019936 1900000000 1900000000 432 0.717 1607 -2.461 1664 1.308
2023/02/22-11:44:30.035955 1900000000 1900000000 434 0.023 1605 3.126 1663 1.307
2023/02/22-11:44:30.064443 1900000000 1900000000 429 0.671 1608 -2.507 1665 1.310
2023/02/22-11:44:30.088497 1900000000 1900000000 429 0.894 1608 -2.285 1664 1.310
2023/02/22-11:44:30.114111 1900000000 1900000000 426 2.269 1610 -0.911 1665 1.312
2023/02/22-11:44:30.138712 1900000000 1900000000 426 -1.092 1610 2.012 1666 1.312
2023/02/22-11:44:30.162153 1900000000 1900000000 430 2.050 1608 -1.129 1664 1.310
2023/02/22-11:44:30.182341 1900000000 1900000000 430 -1.590 1608 1.514 1664 1.309
2023/02/22-11:44:30.200963 1900000000 1900000000 434 -2.640 1604 0.465 1662 1.306
2023/02/22-11:44:30.228017 1900000000 1900000000 430 -2.364 1607 0.741 1664 1.310
2023/02/22-11:44:30.248671 1900000000 1900000000 433 -1.237 1606 1.869 1664 1.308
2023/02/22-11:44:30.272476 1900000000 1900000000 430 -0.969 1608 2.136 1664 1.309
2023/02/22-11:44:30.289978 1900000000 1900000000 429 -1.347 1609 1.757 1665 1.310
2023/02/22-11:44:30.312977 1900000000 1900000000 430 0.369 1607 -2.809 1664 1.310
2023/02/22-11:44:30.329380 1900000000 1900000000 433 0.786 1606 -2.393 1663 1.307
2023/02/22-11:44:30.351977 1900000000 1900000000 433 -2.866 1606 0.239 1663 1.308
2023/02/22-11:44:30.375703 1900000000 1900000000 429 -1.403 1609 1.701 1665 1.310
2023/02/22-11:44:30.397588 1900000000 1900000000 433 -1.319 1605 1.786 1663 1.307
2023/02/22-11:44:30.417861 1900000000 1900000000 433 -0.331 1606 2.773 1664 1.308
2023/02/22-11:44:30.436476 1900000000 1900000000 437 -1.893 1603 1.212 1662 1.304
2023/02/22-11:44:30.464086 1900000000 1900000000 434 3.064 1605 -0.114 1663 1.307
2023/02/22-11:44:30.489892 1900000000 1900000000 435 1.477 1604 -1.702 1662 1.306
2023/02/22-11:44:30.513226 1900000000 1900000000 436 -0.068 1603 3.036 1662 1.305
2023/02/22-11:44:30.548500 1900000000 1900000000 435 0.605 1604 -2.573 1662 1.306
2023/02/22-11:44:30.567946 1900000000 1900000000 435 -2.687 1604 0.418 1662 1.306
2023/02/22-11:44:30.588936 1900000000 1900000000 434 -1.594 1605 1.511 1663 1.307
2023/02/22-11:44:30.609035 1900000000 1900000000 438 1.760 1602 -1.418 1661 1.304
2023/02/22-11:44:30.638868 1900000000 1900000000 437 -1.855 1603 1.250 1661 1.305
2023/02/22-11:44:30.659109 1900000000 1900000000 431 1.569 1607 -1.609 1663 1.309
2023/02/22-11:44:30.697112 1900000000 1900000000 434 -2.657 1605 0.448 1663 1.307
2023/02/22-11:44:30.720836 1900000000 1900000000 431 2.664 1607 -0.515 1664 1.309
2023/02/22-11:44:30.742404 1900000000 1900000000 430 2.602 1608 -0.576 1664 1.310
2023/02/22-11:44:30.763743 1900000000 1900000000 432 -3.076 1606 0.028 1663 1.308
2023/02/22-11:44:30.790086 1900000000 1900000000 432 -1.440 1606 1.664 1663 1.308
2023/02/22-11:44:30.815604 1900000000 1900000000 431 -1.900 1607 1.204 1664 1.309
2023/02/22-11:44:30.837781 1900000000 1900000000 432 2.554 1606 -0.623 1663 1.308
2023/02/22-11:44:30.864441 1900000000 1900000000 432 -0.757 1606 2.348 1663 1.308
2023/02/22-11:44:30.878125 1900000000 1900000000 428 1.894 1609 -1.284 1665 1.311
2023/02/22-11:44:30.900980 1900000000 1900000000 431 -0.174 1606 2.932 1663 1.308
2023/02/22-11:44:30.921925 1900000000 1900000000 433 1.998 1605 -1.180 1663 1.307
2023/02/22-11:44:30.942331 1900000000 1900000000 431 -0.828 1606 2.276 1663 1.308
2023/02/22-11:44:30.962587 1900000000 1900000000 433 -0.384 1606 2.721 1663 1.308
2023/02/22-11:44:30.987657 1900000000 1900000000 439 -0.909 1602 2.196 1661 1.304
2023/02/22-11:44:31.013371 1900000000 1900000000 433 2.890 1605 -0.288 1663 1.307
2023/02/22-11:44:31.031000 1900000000 1900000000 435 2.200 1605 -0.978 1662 1.306
2023/02/22-11:44:31.050017 1900000000 1900000000 432 2.086 1606 -1.093 1663 1.308
2023/02/22-11:44:31.069279 1900000000 1900000000 430 2.245 1608 -0.933 1664 1.310
2023/02/22-11:44:31.092405 1900000000 1900000000 433 2.096 1605 -1.082 1663 1.307
2023/02/22-11:44:31.124648 1900000000 1900000000 429 0.907 1608 -2.272 1664 1.310
2023/02/22-11:44:31.148552 1900000000 1900000000 431 -0.172 1607 2.933 1663 1.309
2023/02/22-11:44:31.163066 1900000000 1900000000 432 -2.799 1606 0.306 1663 1.308
2023/02/22-11:44:31.185785 1900000000 1900000000 431 -2.184 1607 0.921 1664 1.309
2023/02/22-11:44:31.205686 1900000000 1900000000 430 -0.783 1608 2.321 1664 1.309
2023/02/22-11:44:31.228368 1900000000 1900000000 434 0.638 1605 -2.541 1662 1.307
2023/02/22-11:44:31.252826 1900000000 1900000000 434 0.302 1605 -2.876 1662 1.306
2023/02/22-11:44:31.266671 1900000000 1900000000 431 0.899 1607 -2.279 1664 1.309
