DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/23-10:08:19.916500 1900000000 1900000000 831 2.339 1519 2.348 1731 1.070
2023/02/23-10:08:19.933823 1900000000 1900000000 831 -1.664 1521 -1.654 1733 1.071
2023/02/23-10:08:19.959397 1900000000 1900000000 832 0.230 1517 0.240 1730 1.069
2023/02/23-10:08:19.979183 1900000000 1900000000 831 -0.775 1519 -0.766 1732 1.070
2023/02/23-10:08:20.000415 1900000000 1900000000 833 0.421 1518 0.430 1732 1.069
2023/02/23-10:08:20.021972 1900000000 1900000000 832 -1.904 1518 -1.895 1731 1.070
2023/02/23-10:08:20.051323 1900000000 1900000000 831 -1.470 1518 -1.460 1731 1.070
2023/02/23-10:08:20.071370 1900000000 1900000000 833 -1.696 1517 -1.686 1731 1.069
2023/02/23-10:08:20.087328 1900000000 1900000000 831 2.203 1519 2.213 1731 1.070
2023/02/23-10:08:20.104685 1900000000 1900000000 832 0.377 1518 0.386 1731 1.070
2023/02/23-10:08:20.124804 1900000000 1900000000 834 -1.377 1516 -1.368 1731 1.068
2023/02/23-10:08:20.144888 1900000000 1900000000 832 -0.813 1517 -0.804 1731 1.069
2023/02/23-10:08:20.166085 1900000000 1900000000 832 0.487 1518 0.496 1731 1.069
2023/02/23-10:08:20.180988 1900000000 1900000000 833 1.384 1516 1.393 1730 1.068
2023/02/23-10:08:20.217896 1900000000 1900000000 831 2.391 1518 2.401 1730 1.070
2023/02/23-10:08:20.236754 1900000000 1900000000 829 2.357 1520 2.366 1731 1.072
2023/02/23-10:08:20.252018 1900000000 1900000000 830 2.626 1519 2.636 1731 1.071
2023/02/23-10:08:20.271493 1900000000 1900000000 828 1.175 1520 1.184 1731 1.072
2023/02/23-10:08:20.289586 1900000000 1900000000 828 1.417 1521 1.426 1732 1.072
2023/02/23-10:08:20.316709 1900000000 1900000000 830 0.837 1519 0.846 1731 1.071
2023/02/23-10:08:20.338914 1900000000 1900000000 828 -1.237 1521 -1.227 1731 1.072
2023/02/23-10:08:20.362164 1900000000 1900000000 831 -0.034 1517 -0.025 1730 1.070
2023/02/23-10:08:20.380679 1900000000 1900000000 830 -0.665 1519 -0.655 1731 1.071
2023/02/23-10:08:20.403391 1900000000 1900000000 833 -0.661 1516 -0.652 1730 1.068
2023/02/23-10:08:20.424984 1900000000 1900000000 829 0.006 1519 0.015 1731 1.071
2023/02/23-10:08:20.451139 1900000000 1900000000 828 -0.609 1521 -0.599 1731 1.072
2023/02/23-10:08:20.468090 1900000000 1900000000 832 0.727 1518 0.736 1731 1.070
2023/02/23-10:08:20.496236 1900000000 1900000000 831 0.721 1519 0.730 1732 1.070
2023/02/23-10:08:20.522655 1900000000 1900000000 833 -2.955 1515 -2.946 1729 1.068
2023/02/23-10:08:20.541332 1900000000 1900000000 830 0.162 1520 0.172 1731 1.071
2023/02/23-10:08:20.558198 1900000000 1900000000 834 1.005 1515 1.014 1730 1.067
2023/02/23-10:08:20.584420 1900000000 1900000000 831 -2.134 1517 -2.124 1730 1.070
2023/02/23-10:08:20.598897 1900000000 1900000000 833 2.941 1516 2.951 1730 1.068
2023/02/23-10:08:20.628272 1900000000 1900000000 834 0.774 1516 0.784 1730 1.068
2023/02/23-10:08:20.651086 1900000000 1900000000 829 -3.020 1519 -3.011 1730 1.071
2023/02/23-10:08:20.672753 1900000000 1900000000 832 0.034 1517 0.044 1730 1.069
2023/02/23-10:08:20.704198 1900000000 1900000000 832 -0.787 1519 -0.778 1732 1.070
2023/02/23-10:08:20.727294 1900000000 1900000000 830 0.086 1521 0.095 1732 1.071
2023/02/23-10:08:20.753447 1900000000 1900000000 832 0.061 1517 0.070 1731 1.069
2023/02/23-10:08:20.770388 1900000000 1900000000 831 1.849 1518 1.858 1730 1.070
2023/02/23-10:08:20.799257 1900000000 1900000000 831 -2.671 1518 -2.662 1730 1.070
2023/02/23-10:08:20.823683 1900000000 1900000000 833 -0.787 1518 -0.777 1731 1.069
2023/02/23-10:08:20.838605 1900000000 1900000000 832 -0.342 1517 -0.332 1730 1.069
2023/02/23-10:08:20.861797 1900000000 1900000000 835 -1.017 1515 -1.008 1730 1.067
2023/02/23-10:08:20.896179 1900000000 1900000000 833 3.120 1518 3.130 1731 1.069
2023/02/23-10:08:20.921152 1900000000 1900000000 835 2.518 1515 2.528 1730 1.067
2023/02/23-10:08:20.943027 1900000000 1900000000 831 2.284 1518 2.294 1731 1.070
2023/02/23-10:08:20.960859 1900000000 1900000000 831 0.824 1518 0.833 1730 1.070
2023/02/23-10:08:20.989244 1900000000 1900000000 831 1.133 1518 1.143 1731 1.070
2023/02/23-10:08:21.006343 1900000000 1900000000 832 -3.027 1517 -3.018 1730 1.069
