DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/24-17:54:25.215264 1900000000 1900000000 1387 1.910 39 -1.232 1388 0.028
2023/02/24-17:54:25.240075 1900000000 1900000000 1387 -2.509 39 0.637 1387 0.028
2023/02/24-17:54:25.271013 1900000000 1900000000 1387 2.603 39 -0.534 1388 0.028
2023/02/24-17:54:25.284098 1900000000 1900000000 1386 0.782 40 -2.352 1387 0.029
2023/02/24-17:54:25.328339 1900000000 1900000000 1383 0.130 45 -3.007 1384 0.033
2023/02/24-17:54:25.376696 1900000000 1900000000 1386 2.353 41 -0.783 1387 0.030
2023/02/24-17:54:25.422815 1900000000 1900000000 1386 -0.346 43 2.802 1386 0.031
2023/02/24-17:54:25.497015 1900000000 1900000000 1385 1.689 41 -1.447 1386 0.030
2023/02/24-17:54:25.553732 1900000000 1900000000 1385 -1.832 44 1.309 1386 0.032
2023/02/24-17:54:25.603282 1900000000 1900000000 1385 -1.995 42 1.145 1386 0.030
2023/02/24-17:54:25.635539 1900000000 1900000000 1386 -2.242 39 0.903 1386 0.028
2023/02/24-17:54:25.652375 1900000000 1900000000 1382 -1.352 44 1.792 1383 0.032
2023/02/24-17:54:25.683082 1900000000 1900000000 1385 -2.771 42 0.375 1385 0.030
2023/02/24-17:54:25.703217 1900000000 1900000000 1383 -1.331 43 1.813 1384 0.031
2023/02/24-17:54:25.717357 1900000000 1900000000 1384 0.704 43 -2.436 1385 0.031
2023/02/24-17:54:25.741432 1900000000 1900000000 1385 -0.217 44 2.920 1386 0.032
2023/02/24-17:54:25.774294 1900000000 1900000000 1384 -2.443 46 0.701 1385 0.033
2023/02/24-17:54:25.795024 1900000000 1900000000 1385 0.923 43 -2.220 1386 0.031
2023/02/24-17:54:25.826068 1900000000 1900000000 1384 -2.186 42 0.961 1385 0.030
2023/02/24-17:54:25.846602 1900000000 1900000000 1385 0.197 40 -2.942 1386 0.029
2023/02/24-17:54:25.866830 1900000000 1900000000 1385 -0.241 42 2.904 1385 0.031
2023/02/24-17:54:25.888367 1900000000 1900000000 1384 1.970 42 -1.168 1385 0.030
2023/02/24-17:54:25.916080 1900000000 1900000000 1385 2.981 43 -0.159 1386 0.031
2023/02/24-17:54:25.937507 1900000000 1900000000 1385 -2.077 42 1.066 1386 0.031
2023/02/24-17:54:25.959119 1900000000 1900000000 1385 2.469 42 -0.671 1385 0.030
2023/02/24-17:54:25.979057 1900000000 1900000000 1384 2.233 42 -0.905 1385 0.030
2023/02/24-17:54:25.995080 1900000000 1900000000 1383 1.553 46 -1.588 1384 0.033
2023/02/24-17:54:26.017479 1900000000 1900000000 1383 -0.653 44 2.490 1384 0.032
2023/02/24-17:54:26.038497 1900000000 1900000000 1386 -1.169 41 1.974 1386 0.029
2023/02/24-17:54:26.068484 1900000000 1900000000 1385 1.624 39 -1.515 1385 0.028
2023/02/24-17:54:26.087320 1900000000 1900000000 1386 -2.102 41 1.043 1386 0.029
2023/02/24-17:54:26.115062 1900000000 1900000000 1385 1.921 41 -1.216 1386 0.030
2023/02/24-17:54:26.135339 1900000000 1900000000 1385 2.840 40 -0.301 1385 0.029
2023/02/24-17:54:26.163149 1900000000 1900000000 1384 -0.399 43 2.745 1385 0.031
2023/02/24-17:54:26.174610 1900000000 1900000000 1384 2.144 44 -0.998 1385 0.032
2023/02/24-17:54:26.203546 1900000000 1900000000 1383 -2.106 45 1.041 1384 0.033
2023/02/24-17:54:26.217391 1900000000 1900000000 1384 -1.431 43 1.712 1385 0.031
2023/02/24-17:54:26.250899 1900000000 1900000000 1384 -2.762 42 0.387 1385 0.030
2023/02/24-17:54:26.272138 1900000000 1900000000 1383 1.641 43 -1.501 1384 0.031
2023/02/24-17:54:26.295404 1900000000 1900000000 1384 2.638 45 -0.500 1384 0.032
2023/02/24-17:54:26.315690 1900000000 1900000000 1384 3.122 41 -0.018 1384 0.030
2023/02/24-17:54:26.335420 1900000000 1900000000 1384 2.180 43 -0.961 1384 0.031
2023/02/24-17:54:26.359043 1900000000 1900000000 1383 -1.076 42 2.071 1384 0.031
2023/02/24-17:54:26.385422 1900000000 1900000000 1382 2.334 47 -0.805 1383 0.034
2023/02/24-17:54:26.408602 1900000000 1900000000 1384 -2.060 42 1.083 1385 0.031
2023/02/24-17:54:26.431583 1900000000 1900000000 1385 -2.386 43 0.757 1385 0.031
2023/02/24-17:54:26.457095 1900000000 1900000000 1383 -0.776 43 2.366 1384 0.031
2023/02/24-17:54:26.478760 1900000000 1900000000 1384 -2.284 42 0.859 1384 0.031
2023/02/24-17:54:26.498216 1900000000 1900000000 1385 -2.969 42 0.174 1386 0.030
2023/02/24-17:54:26.517128 1900000000 1900000000 1385 0.955 42 -2.187 1386 0.030
2023/02/24-17:54:26.538143 1900000000 1900000000 1385 0.385 40 -2.757 1386 0.029
2023/02/24-17:54:26.556470 1900000000 1900000000 1386 -1.831 39 1.309 1387 0.028
2023/02/24-17:54:26.574467 1900000000 1900000000 1385 0.903 41 -2.237 1385 0.030
2023/02/24-17:54:26.592988 1900000000 1900000000 1386 2.996 40 -0.149 1386 0.029
2023/02/24-17:54:26.615969 1900000000 1900000000 1385 -2.427 43 0.721 1385 0.031
2023/02/24-17:54:26.637932 1900000000 1900000000 1386 -0.418 38 2.727 1387 0.027
2023/02/24-17:54:26.658834 1900000000 1900000000 1386 -0.205 39 2.937 1386 0.028
2023/02/24-17:54:26.683590 1900000000 1900000000 1386 2.696 41 -0.442 1387 0.029
2023/02/24-17:54:26.705891 1900000000 1900000000 1384 0.889 43 -2.253 1385 0.031
2023/02/24-17:54:26.727222 1900000000 1900000000 1387 -2.709 39 0.435 1387 0.028
2023/02/24-17:54:26.747115 1900000000 1900000000 1384 -1.754 42 1.386 1385 0.030
2023/02/24-17:54:26.776664 1900000000 1900000000 1384 1.368 41 -1.772 1385 0.029
2023/02/24-17:54:26.801922 1900000000 1900000000 1385 -1.657 40 1.481 1385 0.029
2023/02/24-17:54:26.823512 1900000000 1900000000 1384 -0.804 42 2.336 1384 0.031
2023/02/24-17:54:26.856969 1900000000 1900000000 1383 -1.354 42 1.795 1384 0.030
2023/02/24-17:54:26.876212 1900000000 1900000000 1386 0.188 38 -2.949 1387 0.027
2023/02/24-17:54:26.893387 1900000000 1900000000 1386 0.002 40 -3.136 1386 0.029
2023/02/24-17:54:26.913152 1900000000 1900000000 1386 1.678 39 -1.464 1386 0.028
2023/02/24-17:54:26.938943 1900000000 1900000000 1384 1.038 41 -2.104 1384 0.030
2023/02/24-17:54:26.955105 1900000000 1900000000 1384 -1.486 44 1.657 1384 0.032
2023/02/24-17:54:26.973157 1900000000 1900000000 1385 -2.635 41 0.506 1386 0.030
2023/02/24-17:54:26.991895 1900000000 1900000000 1385 -0.650 43 2.492 1385 0.031
2023/02/24-17:54:27.013213 1900000000 1900000000 1382 2.002 46 -1.135 1383 0.033
2023/02/24-17:54:27.032710 1900000000 1900000000 1384 -1.691 42 1.450 1385 0.030
2023/02/24-17:54:27.059883 1900000000 1900000000 1383 3.026 46 -0.118 1384 0.033
2023/02/24-17:54:27.079903 1900000000 1900000000 1385 -1.535 44 1.610 1385 0.032
2023/02/24-17:54:27.099489 1900000000 1900000000 1383 2.635 47 -0.506 1384 0.034
2023/02/24-17:54:27.124596 1900000000 1900000000 1384 0.520 45 -2.617 1384 0.032
2023/02/24-17:54:27.144890 1900000000 1900000000 1384 0.711 43 -2.429 1384 0.031
2023/02/24-17:54:27.167668 1900000000 1900000000 1382 -1.398 46 1.742 1383 0.033
2023/02/24-17:54:27.187009 1900000000 1900000000 1385 1.485 42 -1.653 1386 0.030
2023/02/24-17:54:27.205304 1900000000 1900000000 1384 0.599 45 -2.544 1385 0.032
2023/02/24-17:54:27.229441 1900000000 1900000000 1383 0.323 48 -2.817 1383 0.035
2023/02/24-17:54:27.250252 1900000000 1900000000 1383 1.090 45 -2.047 1384 0.032
2023/02/24-17:54:27.275159 1900000000 1900000000 1384 -1.842 43 1.304 1385 0.031
2023/02/24-17:54:27.293774 1900000000 1900000000 1384 0.157 40 -2.982 1385 0.029
2023/02/24-17:54:27.315390 1900000000 1900000000 1384 2.800 42 -0.343 1384 0.031
2023/02/24-17:54:27.334491 1900000000 1900000000 1382 2.408 48 -0.731 1383 0.034
2023/02/24-17:54:27.357618 1900000000 1900000000 1383 1.958 44 -1.181 1384 0.032
2023/02/24-17:54:27.375888 1900000000 1900000000 1382 1.284 47 -1.860 1383 0.034
2023/02/24-17:54:27.397434 1900000000 1900000000 1383 1.878 45 -1.263 1384 0.033
2023/02/24-17:54:27.415005 1900000000 1900000000 1379 -2.563 51 0.580 1380 0.037
2023/02/24-17:54:27.432986 1900000000 1900000000 1381 1.679 44 -1.460 1382 0.032
2023/02/24-17:54:27.461828 1900000000 1900000000 1379 0.618 53 -2.523 1380 0.038
2023/02/24-17:54:27.481839 1900000000 1900000000 1379 -0.033 49 3.113 1380 0.036
2023/02/24-17:54:27.500405 1900000000 1900000000 1378 0.771 47 -2.368 1379 0.034
2023/02/24-17:54:27.529470 1900000000 1900000000 1379 -0.900 48 2.239 1380 0.035
2023/02/24-17:54:27.552763 1900000000 1900000000 1376 -2.289 48 0.851 1377 0.035
2023/02/24-17:54:27.571508 1900000000 1900000000 1376 2.508 46 -0.632 1377 0.033
2023/02/24-17:54:27.590966 1900000000 1900000000 1374 -2.317 48 0.825 1375 0.035
2023/02/24-17:54:27.614166 1900000000 1900000000 1372 1.632 51 -1.511 1373 0.037
2023/02/24-17:54:27.634721 1900000000 1900000000 1368 -0.136 54 3.006 1369 0.040
2023/02/24-17:54:27.662894 1900000000 1900000000 1364 0.257 61 -2.885 1366 0.045
2023/02/24-17:54:27.687346 1900000000 1900000000 1363 -2.049 60 1.091 1364 0.044
2023/02/24-17:54:27.704206 1900000000 1900000000 1363 -2.959 57 0.181 1364 0.041
2023/02/24-17:54:27.726164 1900000000 1900000000 1359 1.671 59 -1.473 1360 0.044
2023/02/24-17:54:27.744995 1900000000 1900000000 1359 0.096 57 -3.051 1360 0.042
2023/02/24-17:54:27.761839 1900000000 1900000000 1354 -0.525 61 2.610 1356 0.045
2023/02/24-17:54:27.787174 1900000000 1900000000 1351 -0.350 66 2.790 1352 0.049
2023/02/24-17:54:27.812142 1900000000 1900000000 1349 -2.287 67 0.849 1350 0.049
2023/02/24-17:54:27.839981 1900000000 1900000000 1346 0.407 68 -2.739 1347 0.050
2023/02/24-17:54:27.854003 1900000000 1900000000 1345 0.897 68 -2.249 1347 0.051
2023/02/24-17:54:27.880566 1900000000 1900000000 1343 -1.953 68 1.185 1345 0.051
2023/02/24-17:54:27.899564 1900000000 1900000000 1341 -2.558 71 0.583 1343 0.053
2023/02/24-17:54:27.922516 1900000000 1900000000 1341 2.783 71 -0.364 1343 0.053
2023/02/24-17:54:27.940084 1900000000 1900000000 1340 -2.333 74 0.805 1342 0.055
2023/02/24-17:54:27.965614 1900000000 1900000000 1343 -2.730 70 0.408 1345 0.052
2023/02/24-17:54:27.981297 1900000000 1900000000 1341 -2.103 73 1.035 1343 0.054
2023/02/24-17:54:28.006972 1900000000 1900000000 1342 -2.193 72 0.947 1344 0.053
2023/02/24-17:54:28.029287 1900000000 1900000000 1344 -2.125 71 1.013 1346 0.053
2023/02/24-17:54:28.057689 1900000000 1900000000 1345 -1.730 67 1.409 1347 0.050
2023/02/24-17:54:28.075662 1900000000 1900000000 1346 1.428 66 -1.716 1347 0.049
2023/02/24-17:54:28.099857 1900000000 1900000000 1344 1.678 69 -1.464 1346 0.051
2023/02/24-17:54:28.126620 1900000000 1900000000 1347 -0.915 66 2.225 1349 0.049
2023/02/24-17:54:28.150434 1900000000 1900000000 1347 -2.396 67 0.743 1348 0.050
2023/02/24-17:54:28.160815 1900000000 1900000000 1346 -2.348 66 0.790 1348 0.049
2023/02/24-17:54:28.186577 1900000000 1900000000 1348 -3.013 65 0.128 1350 0.048
2023/02/24-17:54:28.201790 1900000000 1900000000 1347 0.175 65 -2.968 1349 0.048
2023/02/24-17:54:28.225618 1900000000 1900000000 1349 -0.383 62 2.757 1350 0.046
2023/02/24-17:54:28.258762 1900000000 1900000000 1348 -2.605 64 0.532 1350 0.048
2023/02/24-17:54:28.294124 1900000000 1900000000 1350 2.400 63 -0.745 1351 0.047
2023/02/24-17:54:28.313359 1900000000 1900000000 1349 -0.603 66 2.536 1351 0.049
2023/02/24-17:54:28.339048 1900000000 1900000000 1350 1.177 66 -1.967 1351 0.049
2023/02/24-17:54:28.363087 1900000000 1900000000 1348 -2.615 70 0.523 1350 0.052
2023/02/24-17:54:28.385116 1900000000 1900000000 1348 0.546 73 -2.596 1350 0.054
2023/02/24-17:54:28.406104 1900000000 1900000000 1347 1.011 74 -2.135 1349 0.055
2023/02/24-17:54:28.424027 1900000000 1900000000 1349 1.543 72 -1.603 1351 0.053
2023/02/24-17:54:28.444839 1900000000 1900000000 1346 -0.537 76 2.601 1348 0.057
2023/02/24-17:54:28.463429 1900000000 1900000000 1346 -2.899 77 0.238 1348 0.057
2023/02/24-17:54:28.479264 1900000000 1900000000 1345 -2.422 81 0.718 1347 0.060
2023/02/24-17:54:28.510124 1900000000 1900000000 1344 -0.329 86 2.811 1346 0.064
2023/02/24-17:54:28.525678 1900000000 1900000000 1342 -0.738 89 2.401 1345 0.066
2023/02/24-17:54:28.551311 1900000000 1900000000 1343 1.893 89 -1.253 1346 0.066
2023/02/24-17:54:28.570216 1900000000 1900000000 1343 0.109 90 -3.037 1346 0.067
2023/02/24-17:54:28.589794 1900000000 1900000000 1343 -2.047 91 1.088 1346 0.067
2023/02/24-17:54:28.612994 1900000000 1900000000 1344 2.435 90 -0.709 1347 0.067
2023/02/24-17:54:28.634283 1900000000 1900000000 1343 -1.823 91 1.316 1346 0.068
2023/02/24-17:54:28.652433 1900000000 1900000000 1344 -2.773 89 0.368 1347 0.066
2023/02/24-17:54:28.675621 1900000000 1900000000 1344 0.706 87 -2.441 1347 0.065
2023/02/24-17:54:28.698742 1900000000 1900000000 1344 -2.284 90 0.855 1347 0.067
2023/02/24-17:54:28.725155 1900000000 1900000000 1344 1.629 90 -1.516 1347 0.067
2023/02/24-17:54:28.747210 1900000000 1900000000 1342 2.019 94 -1.125 1345 0.070
2023/02/24-17:54:28.778288 1900000000 1900000000 1342 -0.346 90 2.794 1345 0.067
2023/02/24-17:54:28.810491 1900000000 1900000000 1342 1.074 84 -2.069 1345 0.063
2023/02/24-17:54:28.837034 1900000000 1900000000 1340 -0.967 83 2.174 1343 0.062
2023/02/24-17:54:28.862825 1900000000 1900000000 1339 0.277 80 -2.865 1342 0.059
2023/02/24-17:54:28.901016 1900000000 1900000000 1340 -0.600 74 2.538 1342 0.055
2023/02/24-17:54:28.921294 1900000000 1900000000 1340 0.015 69 -3.128 1342 0.051
2023/02/24-17:54:28.943479 1900000000 1900000000 1340 2.172 67 -0.975 1341 0.050
2023/02/24-17:54:28.964086 1900000000 1900000000 1342 2.022 58 -1.120 1344 0.043
2023/02/24-17:54:28.990974 1900000000 1900000000 1342 -2.121 59 1.021 1343 0.044
2023/02/24-17:54:29.015761 1900000000 1900000000 1345 1.869 53 -1.275 1346 0.039
2023/02/24-17:54:29.042938 1900000000 1900000000 1347 -1.879 50 1.266 1347 0.037
2023/02/24-17:54:29.059838 1900000000 1900000000 1348 -2.961 52 0.178 1349 0.038
2023/02/24-17:54:29.084787 1900000000 1900000000 1350 -1.888 47 1.257 1351 0.035
2023/02/24-17:54:29.107164 1900000000 1900000000 1351 1.641 48 -1.501 1352 0.035
2023/02/24-17:54:29.138124 1900000000 1900000000 1353 1.628 47 -1.517 1354 0.035
2023/02/24-17:54:29.157292 1900000000 1900000000 1355 -1.718 47 1.424 1356 0.034
2023/02/24-17:54:29.183675 1900000000 1900000000 1356 -2.839 45 0.307 1357 0.033
2023/02/24-17:54:29.199945 1900000000 1900000000 1356 1.888 47 -1.254 1357 0.035
2023/02/24-17:54:29.222927 1900000000 1900000000 1357 -2.205 49 0.939 1358 0.036
2023/02/24-17:54:29.244552 1900000000 1900000000 1358 -2.532 50 0.612 1359 0.037
2023/02/24-17:54:29.269871 1900000000 1900000000 1359 2.151 54 -0.988 1360 0.039
2023/02/24-17:54:29.298872 1900000000 1900000000 1359 2.761 57 -0.381 1360 0.042
2023/02/24-17:54:29.322222 1900000000 1900000000 1360 1.440 58 -1.701 1361 0.043
2023/02/24-17:54:29.345181 1900000000 1900000000 1359 0.824 60 -2.314 1360 0.044
2023/02/24-17:54:29.359193 1900000000 1900000000 1360 1.813 63 -1.328 1361 0.046
2023/02/24-17:54:29.383094 1900000000 1900000000 1358 2.640 67 -0.500 1359 0.050
2023/02/24-17:54:29.412514 1900000000 1900000000 1358 -1.556 66 1.588 1359 0.049
2023/02/24-17:54:29.433800 1900000000 1900000000 1355 -0.462 69 2.681 1356 0.051
2023/02/24-17:54:29.456570 1900000000 1900000000 1355 -0.912 69 2.229 1357 0.051
2023/02/24-17:54:29.483589 1900000000 1900000000 1352 2.175 71 -0.968 1354 0.053
2023/02/24-17:54:29.505458 1900000000 1900000000 1351 0.846 72 -2.298 1353 0.053
2023/02/24-17:54:29.523198 1900000000 1900000000 1347 1.657 76 -1.485 1349 0.056
