DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/24-18:06:35.573783 1900000000 1900000000 1384 1.759 49 -1.384 1384 0.036
2023/02/24-18:06:35.594137 1900000000 1900000000 1382 0.819 49 -2.320 1383 0.036
2023/02/24-18:06:35.616050 1900000000 1900000000 1381 -2.204 47 0.938 1382 0.034
2023/02/24-18:06:35.634421 1900000000 1900000000 1381 -1.133 50 2.009 1382 0.036
2023/02/24-18:06:35.655176 1900000000 1900000000 1382 -1.304 48 1.839 1383 0.034
2023/02/24-18:06:35.673442 1900000000 1900000000 1382 2.484 47 -0.663 1383 0.034
2023/02/24-18:06:35.704586 1900000000 1900000000 1383 2.259 48 -0.882 1384 0.034
2023/02/24-18:06:35.727769 1900000000 1900000000 1385 0.627 49 -2.514 1386 0.035
2023/02/24-18:06:35.749320 1900000000 1900000000 1383 2.414 49 -0.727 1384 0.035
2023/02/24-18:06:35.780541 1900000000 1900000000 1381 -0.150 54 2.992 1382 0.039
2023/02/24-18:06:35.801643 1900000000 1900000000 1383 -1.739 52 1.400 1384 0.038
2023/02/24-18:06:35.828848 1900000000 1900000000 1382 -2.440 53 0.703 1383 0.038
2023/02/24-18:06:35.849138 1900000000 1900000000 1381 3.009 54 -0.133 1382 0.039
2023/02/24-18:06:35.864974 1900000000 1900000000 1383 -2.610 48 0.530 1384 0.035
2023/02/24-18:06:35.890928 1900000000 1900000000 1383 -1.014 47 2.134 1384 0.034
2023/02/24-18:06:35.912552 1900000000 1900000000 1383 -0.703 48 2.440 1384 0.034
2023/02/24-18:06:35.929975 1900000000 1900000000 1382 2.083 50 -1.061 1383 0.036
2023/02/24-18:06:35.947082 1900000000 1900000000 1383 0.850 48 -2.291 1384 0.035
2023/02/24-18:06:35.964462 1900000000 1900000000 1380 2.105 55 -1.041 1381 0.040
2023/02/24-18:06:35.991100 1900000000 1900000000 1383 -1.821 50 1.322 1384 0.036
2023/02/24-18:06:36.004607 1900000000 1900000000 1382 -1.236 50 1.905 1383 0.036
2023/02/24-18:06:36.024125 1900000000 1900000000 1382 2.611 50 -0.532 1383 0.036
2023/02/24-18:06:36.041796 1900000000 1900000000 1383 -0.173 46 2.969 1384 0.033
2023/02/24-18:06:36.067385 1900000000 1900000000 1382 -2.413 50 0.728 1382 0.036
2023/02/24-18:06:36.088516 1900000000 1900000000 1381 -0.924 50 2.218 1382 0.036
2023/02/24-18:06:36.112670 1900000000 1900000000 1381 -1.420 47 1.718 1381 0.034
2023/02/24-18:06:36.129955 1900000000 1900000000 1381 -1.963 46 1.176 1381 0.033
2023/02/24-18:06:36.149644 1900000000 1900000000 1380 -2.539 46 0.605 1380 0.034
2023/02/24-18:06:36.167603 1900000000 1900000000 1384 -1.870 43 1.274 1385 0.031
2023/02/24-18:06:36.191042 1900000000 1900000000 1381 0.747 48 -2.396 1382 0.035
2023/02/24-18:06:36.207799 1900000000 1900000000 1380 0.390 50 -2.756 1380 0.037
2023/02/24-18:06:36.231059 1900000000 1900000000 1378 -1.469 53 1.668 1379 0.038
2023/02/24-18:06:36.253463 1900000000 1900000000 1377 1.943 51 -1.200 1378 0.037
2023/02/24-18:06:36.277598 1900000000 1900000000 1378 -3.010 52 0.132 1378 0.038
2023/02/24-18:06:36.296274 1900000000 1900000000 1376 -1.897 53 1.244 1377 0.038
2023/02/24-18:06:36.322533 1900000000 1900000000 1379 1.239 48 -1.909 1380 0.034
2023/02/24-18:06:36.343621 1900000000 1900000000 1379 0.854 49 -2.287 1380 0.035
2023/02/24-18:06:36.367961 1900000000 1900000000 1379 2.678 49 -0.464 1380 0.036
2023/02/24-18:06:36.390988 1900000000 1900000000 1379 -0.992 49 2.148 1380 0.035
2023/02/24-18:06:36.408676 1900000000 1900000000 1377 0.520 51 -2.622 1378 0.037
2023/02/24-18:06:36.424941 1900000000 1900000000 1377 -1.365 49 1.774 1378 0.035
2023/02/24-18:06:36.447068 1900000000 1900000000 1376 1.074 51 -2.067 1377 0.037
2023/02/24-18:06:36.476571 1900000000 1900000000 1378 1.071 50 -2.070 1379 0.036
2023/02/24-18:06:36.501335 1900000000 1900000000 1378 -1.670 50 1.472 1379 0.036
2023/02/24-18:06:36.518641 1900000000 1900000000 1377 -2.859 51 0.282 1378 0.037
2023/02/24-18:06:36.539014 1900000000 1900000000 1381 2.434 48 -0.713 1382 0.035
2023/02/24-18:06:36.560094 1900000000 1900000000 1378 0.834 52 -2.304 1379 0.038
2023/02/24-18:06:36.580738 1900000000 1900000000 1380 -2.207 48 0.935 1381 0.035
2023/02/24-18:06:36.603016 1900000000 1900000000 1379 1.696 50 -1.446 1380 0.036
2023/02/24-18:06:36.622769 1900000000 1900000000 1381 -2.567 48 0.576 1382 0.035
2023/02/24-18:06:36.639424 1900000000 1900000000 1381 -1.745 50 1.389 1382 0.036
2023/02/24-18:06:36.663428 1900000000 1900000000 1382 -2.673 50 0.467 1383 0.036
2023/02/24-18:06:36.686142 1900000000 1900000000 1381 -2.524 50 0.616 1382 0.036
2023/02/24-18:06:36.703237 1900000000 1900000000 1383 -2.259 47 0.881 1384 0.034
2023/02/24-18:06:36.724897 1900000000 1900000000 1382 3.102 48 -0.040 1383 0.035
2023/02/24-18:06:36.742811 1900000000 1900000000 1381 2.007 51 -1.134 1382 0.037
2023/02/24-18:06:36.761916 1900000000 1900000000 1380 -1.897 50 1.247 1380 0.036
2023/02/24-18:06:36.783514 1900000000 1900000000 1380 -0.236 50 2.903 1381 0.036
2023/02/24-18:06:36.811573 1900000000 1900000000 1379 3.127 50 -0.015 1380 0.036
2023/02/24-18:06:36.841665 1900000000 1900000000 1381 0.386 47 -2.758 1381 0.034
2023/02/24-18:06:36.862258 1900000000 1900000000 1380 -1.411 46 1.729 1381 0.034
2023/02/24-18:06:36.885534 1900000000 1900000000 1380 -0.905 50 2.235 1381 0.036
2023/02/24-18:06:36.913034 1900000000 1900000000 1381 -0.180 46 2.962 1382 0.033
2023/02/24-18:06:36.931466 1900000000 1900000000 1381 -0.815 47 2.325 1381 0.034
2023/02/24-18:06:36.962347 1900000000 1900000000 1380 -2.700 49 0.442 1381 0.035
2023/02/24-18:06:36.999951 1900000000 1900000000 1379 0.272 51 -2.872 1380 0.037
2023/02/24-18:06:37.023621 1900000000 1900000000 1381 0.014 50 -3.127 1382 0.036
2023/02/24-18:06:37.055305 1900000000 1900000000 1381 -2.364 48 0.777 1382 0.035
2023/02/24-18:06:37.070035 1900000000 1900000000 1381 2.409 48 -0.732 1382 0.035
2023/02/24-18:06:37.144568 1900000000 1900000000 1382 -0.641 47 2.499 1383 0.034
2023/02/24-18:06:37.188110 1900000000 1900000000 1381 0.608 48 -2.535 1382 0.035
2023/02/24-18:06:37.205231 1900000000 1900000000 1379 -2.871 50 0.272 1380 0.036
2023/02/24-18:06:37.233515 1900000000 1900000000 1378 2.233 52 -0.908 1379 0.038
2023/02/24-18:06:37.254057 1900000000 1900000000 1381 2.380 50 -0.763 1382 0.036
2023/02/24-18:06:37.295689 1900000000 1900000000 1382 0.529 48 -2.611 1382 0.035
2023/02/24-18:06:37.333144 1900000000 1900000000 1381 -3.016 50 0.126 1382 0.036
2023/02/24-18:06:37.355855 1900000000 1900000000 1381 0.291 49 -2.849 1382 0.035
2023/02/24-18:06:37.378536 1900000000 1900000000 1379 0.164 49 -2.975 1380 0.036
2023/02/24-18:06:37.398323 1900000000 1900000000 1380 2.229 48 -0.914 1381 0.035
2023/02/24-18:06:37.423384 1900000000 1900000000 1381 -2.526 49 0.615 1381 0.035
2023/02/24-18:06:37.450401 1900000000 1900000000 1382 2.677 48 -0.462 1383 0.035
2023/02/24-18:06:37.470553 1900000000 1900000000 1382 -0.667 49 2.476 1383 0.035
2023/02/24-18:06:37.490649 1900000000 1900000000 1382 -0.164 49 2.976 1383 0.036
2023/02/24-18:06:37.519098 1900000000 1900000000 1383 -0.930 50 2.216 1384 0.036
2023/02/24-18:06:37.542871 1900000000 1900000000 1382 0.397 49 -2.746 1383 0.036
2023/02/24-18:06:37.556884 1900000000 1900000000 1383 1.553 48 -1.587 1384 0.035
2023/02/24-18:06:37.579803 1900000000 1900000000 1382 -1.889 49 1.253 1383 0.036
