DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/23-10:50:53.809206 1900000000 1900000000 661 -0.412 1464 -0.402 1606 1.147
2023/02/23-10:50:53.839078 1900000000 1900000000 661 2.125 1467 2.135 1609 1.148
2023/02/23-10:50:53.855994 1900000000 1900000000 659 -2.621 1469 -2.611 1610 1.149
2023/02/23-10:50:53.880302 1900000000 1900000000 658 1.879 1472 1.889 1612 1.150
2023/02/23-10:50:53.896912 1900000000 1900000000 654 -1.117 1477 -1.107 1615 1.154
2023/02/23-10:50:53.930122 1900000000 1900000000 662 -1.565 1472 -1.555 1614 1.148
2023/02/23-10:50:53.948065 1900000000 1900000000 662 2.313 1476 2.322 1617 1.149
2023/02/23-10:50:53.978841 1900000000 1900000000 663 -0.336 1477 -0.326 1619 1.149
2023/02/23-10:50:53.995745 1900000000 1900000000 665 1.883 1476 1.892 1619 1.148
2023/02/23-10:50:54.012987 1900000000 1900000000 668 0.413 1475 0.423 1620 1.146
2023/02/23-10:50:54.043035 1900000000 1900000000 672 -1.455 1475 -1.446 1620 1.143
2023/02/23-10:50:54.059854 1900000000 1900000000 674 0.891 1474 0.900 1621 1.142
2023/02/23-10:50:54.077574 1900000000 1900000000 674 3.103 1473 3.113 1620 1.142
2023/02/23-10:50:54.101881 1900000000 1900000000 679 -2.355 1470 -2.346 1619 1.138
2023/02/23-10:50:54.120685 1900000000 1900000000 680 -2.488 1468 -2.479 1618 1.137
2023/02/23-10:50:54.144455 1900000000 1900000000 679 -2.604 1468 -2.594 1618 1.137
2023/02/23-10:50:54.164568 1900000000 1900000000 683 -1.198 1465 -1.189 1616 1.134
2023/02/23-10:50:54.183442 1900000000 1900000000 684 1.379 1461 1.388 1614 1.133
2023/02/23-10:50:54.204735 1900000000 1900000000 683 0.487 1462 0.497 1614 1.134
2023/02/23-10:50:54.224391 1900000000 1900000000 685 1.998 1459 2.007 1611 1.132
2023/02/23-10:50:54.249867 1900000000 1900000000 685 -0.301 1457 -0.291 1610 1.131
2023/02/23-10:50:54.266826 1900000000 1900000000 686 -0.343 1454 -0.333 1608 1.130
2023/02/23-10:50:54.285307 1900000000 1900000000 688 0.846 1450 0.856 1605 1.128
2023/02/23-10:50:54.306009 1900000000 1900000000 685 2.491 1451 2.500 1604 1.130
2023/02/23-10:50:54.328112 1900000000 1900000000 688 0.535 1444 0.544 1600 1.126
2023/02/23-10:50:54.355182 1900000000 1900000000 688 0.474 1442 0.484 1598 1.126
2023/02/23-10:50:54.371882 1900000000 1900000000 688 1.002 1439 1.012 1595 1.125
2023/02/23-10:50:54.396639 1900000000 1900000000 686 0.875 1441 0.884 1596 1.126
2023/02/23-10:50:54.420595 1900000000 1900000000 685 2.052 1439 2.062 1594 1.127
2023/02/23-10:50:54.447357 1900000000 1900000000 684 -1.338 1436 -1.328 1591 1.127
2023/02/23-10:50:54.464400 1900000000 1900000000 680 -2.247 1436 -2.238 1589 1.128
2023/02/23-10:50:54.488760 1900000000 1900000000 684 2.000 1432 2.010 1587 1.125
2023/02/23-10:50:54.512719 1900000000 1900000000 682 1.895 1432 1.906 1586 1.126
2023/02/23-10:50:54.534707 1900000000 1900000000 680 1.441 1433 1.451 1586 1.128
2023/02/23-10:50:54.563412 1900000000 1900000000 679 -2.913 1432 -2.903 1585 1.128
2023/02/23-10:50:54.577035 1900000000 1900000000 679 -0.597 1433 -0.587 1586 1.129
2023/02/23-10:50:54.598110 1900000000 1900000000 677 -1.312 1433 -1.301 1585 1.129
2023/02/23-10:50:54.618166 1900000000 1900000000 674 -2.576 1436 -2.566 1587 1.132
2023/02/23-10:50:54.640393 1900000000 1900000000 677 0.769 1436 0.779 1587 1.130
2023/02/23-10:50:54.667432 1900000000 1900000000 678 -2.923 1436 -2.913 1588 1.130
2023/02/23-10:50:54.680219 1900000000 1900000000 679 -1.431 1438 -1.421 1590 1.130
2023/02/23-10:50:54.709659 1900000000 1900000000 684 0.279 1436 0.288 1591 1.127
2023/02/23-10:50:54.737181 1900000000 1900000000 682 2.250 1439 2.260 1592 1.128
2023/02/23-10:50:54.751440 1900000000 1900000000 679 2.302 1445 2.312 1597 1.132
2023/02/23-10:50:54.774519 1900000000 1900000000 679 0.395 1446 0.405 1597 1.132
2023/02/23-10:50:54.796227 1900000000 1900000000 680 -0.110 1446 -0.100 1599 1.131
2023/02/23-10:50:54.820661 1900000000 1900000000 678 0.386 1452 0.396 1602 1.134
2023/02/23-10:50:54.859587 1900000000 1900000000 678 -3.110 1453 -3.101 1603 1.134
2023/02/23-10:50:54.883522 1900000000 1900000000 683 -2.728 1450 -2.718 1603 1.131
2023/02/23-10:50:54.902968 1900000000 1900000000 684 2.649 1450 2.658 1603 1.130
2023/02/23-10:50:54.920924 1900000000 1900000000 684 1.732 1450 1.742 1604 1.130
2023/02/23-10:50:54.947598 1900000000 1900000000 682 0.791 1452 0.801 1604 1.132
2023/02/23-10:50:54.965720 1900000000 1900000000 683 0.436 1450 0.446 1603 1.131
2023/02/23-10:50:54.987341 1900000000 1900000000 682 1.184 1452 1.193 1604 1.132
2023/02/23-10:50:55.009968 1900000000 1900000000 682 -2.839 1450 -2.830 1603 1.131
2023/02/23-10:50:55.039372 1900000000 1900000000 679 -2.584 1451 -2.574 1602 1.133
2023/02/23-10:50:55.058454 1900000000 1900000000 681 -2.838 1449 -2.828 1601 1.132
2023/02/23-10:50:55.072705 1900000000 1900000000 681 0.075 1448 0.085 1600 1.131
2023/02/23-10:50:55.093695 1900000000 1900000000 678 0.667 1450 0.677 1601 1.133
2023/02/23-10:50:55.112950 1900000000 1900000000 677 1.783 1450 1.793 1601 1.134
2023/02/23-10:50:55.136286 1900000000 1900000000 672 -1.749 1453 -1.739 1601 1.138
2023/02/23-10:50:55.156637 1900000000 1900000000 673 1.687 1448 1.697 1597 1.136
2023/02/23-10:50:55.186279 1900000000 1900000000 673 1.485 1449 1.494 1597 1.136
2023/02/23-10:50:55.209826 1900000000 1900000000 670 -3.140 1450 -3.130 1597 1.138
2023/02/23-10:50:55.233043 1900000000 1900000000 672 -2.441 1448 -2.431 1596 1.136
2023/02/23-10:50:55.259392 1900000000 1900000000 670 -1.491 1448 -1.482 1596 1.138
2023/02/23-10:50:55.285104 1900000000 1900000000 668 -1.797 1450 -1.788 1597 1.139
2023/02/23-10:50:55.300652 1900000000 1900000000 666 -1.428 1450 -1.418 1595 1.140
2023/02/23-10:50:55.319658 1900000000 1900000000 665 -3.068 1451 -3.059 1596 1.141
2023/02/23-10:50:55.348255 1900000000 1900000000 658 -2.921 1455 -2.911 1597 1.146
2023/02/23-10:50:55.366822 1900000000 1900000000 660 1.213 1454 1.223 1597 1.145
2023/02/23-10:50:55.391071 1900000000 1900000000 657 1.007 1456 1.016 1598 1.147
2023/02/23-10:50:55.411289 1900000000 1900000000 656 1.305 1458 1.315 1599 1.148
2023/02/23-10:50:55.427488 1900000000 1900000000 655 -2.629 1461 -2.619 1601 1.149
2023/02/23-10:50:55.454938 1900000000 1900000000 654 -2.538 1462 -2.528 1602 1.150
2023/02/23-10:50:55.481121 1900000000 1900000000 655 -1.412 1463 -1.402 1603 1.150
2023/02/23-10:50:55.493947 1900000000 1900000000 657 1.885 1462 1.895 1603 1.149
2023/02/23-10:50:55.517905 1900000000 1900000000 657 -0.652 1466 -0.643 1606 1.149
2023/02/23-10:50:55.549334 1900000000 1900000000 652 -2.624 1472 -2.614 1610 1.154
2023/02/23-10:50:55.566185 1900000000 1900000000 656 -1.422 1470 -1.412 1609 1.151
2023/02/23-10:50:55.585329 1900000000 1900000000 657 -1.350 1469 -1.341 1609 1.150
2023/02/23-10:50:55.611844 1900000000 1900000000 660 -2.996 1470 -2.987 1612 1.149
2023/02/23-10:50:55.633028 1900000000 1900000000 659 -2.754 1472 -2.745 1613 1.150
2023/02/23-10:50:55.651300 1900000000 1900000000 656 -2.567 1474 -2.558 1614 1.152
2023/02/23-10:50:55.678705 1900000000 1900000000 655 -1.659 1476 -1.650 1615 1.153
2023/02/23-10:50:55.700236 1900000000 1900000000 653 -2.543 1478 -2.533 1616 1.155
2023/02/23-10:50:55.723295 1900000000 1900000000 656 0.111 1476 0.121 1615 1.153
2023/02/23-10:50:55.750555 1900000000 1900000000 656 -0.147 1476 -0.138 1615 1.152
2023/02/23-10:50:55.768684 1900000000 1900000000 656 0.804 1476 0.813 1615 1.152
2023/02/23-10:50:55.803583 1900000000 1900000000 661 0.945 1471 0.955 1612 1.148
2023/02/23-10:50:55.825424 1900000000 1900000000 660 2.534 1469 2.544 1611 1.148
2023/02/23-10:50:55.851408 1900000000 1900000000 659 -0.027 1470 -0.018 1611 1.150
2023/02/23-10:50:55.883983 1900000000 1900000000 658 2.589 1468 2.598 1609 1.149
2023/02/23-10:50:55.905366 1900000000 1900000000 659 -2.605 1464 -2.595 1605 1.148
2023/02/23-10:50:55.940497 1900000000 1900000000 655 -1.967 1464 -1.957 1604 1.150
2023/02/23-10:50:55.963796 1900000000 1900000000 658 1.300 1459 1.310 1601 1.147
2023/02/23-10:50:55.994661 1900000000 1900000000 657 -3.021 1460 -3.011 1600 1.148
2023/02/23-10:50:56.015281 1900000000 1900000000 654 0.733 1458 0.743 1598 1.149
2023/02/23-10:50:56.039103 1900000000 1900000000 650 1.575 1457 1.585 1595 1.151
2023/02/23-10:50:56.071610 1900000000 1900000000 652 -1.707 1453 -1.698 1592 1.149
2023/02/23-10:50:56.095445 1900000000 1900000000 651 -3.059 1452 -3.050 1591 1.149
2023/02/23-10:50:56.109923 1900000000 1900000000 647 -2.453 1452 -2.444 1590 1.152
2023/02/23-10:50:56.141122 1900000000 1900000000 642 1.497 1454 1.507 1589 1.155
2023/02/23-10:50:56.151453 1900000000 1900000000 641 2.709 1453 2.719 1588 1.155
2023/02/23-10:50:56.172185 1900000000 1900000000 639 -0.905 1452 -0.896 1586 1.156
2023/02/23-10:50:56.209255 1900000000 1900000000 636 0.337 1452 0.347 1585 1.158
2023/02/23-10:50:56.226627 1900000000 1900000000 633 2.789 1453 2.799 1585 1.160
2023/02/23-10:50:56.248978 1900000000 1900000000 634 -2.657 1453 -2.648 1585 1.159
2023/02/23-10:50:56.268173 1900000000 1900000000 633 0.310 1454 0.319 1586 1.160
2023/02/23-10:50:56.288033 1900000000 1900000000 630 -0.966 1456 -0.956 1586 1.162
