DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/24-18:32:43.473852 1900000000 1900000000 1357 1.838 67 -1.306 1359 0.050
2023/02/24-18:32:43.495016 1900000000 1900000000 1354 -2.088 70 1.050 1356 0.051
2023/02/24-18:32:43.521540 1900000000 1900000000 1355 -0.121 70 3.016 1357 0.051
2023/02/24-18:32:43.541911 1900000000 1900000000 1357 1.457 67 -1.688 1358 0.049
2023/02/24-18:32:43.558934 1900000000 1900000000 1356 -1.152 69 1.986 1357 0.051
2023/02/24-18:32:43.586116 1900000000 1900000000 1354 -0.963 72 2.176 1356 0.053
2023/02/24-18:32:43.603341 1900000000 1900000000 1356 2.518 69 -0.628 1358 0.051
2023/02/24-18:32:43.644163 1900000000 1900000000 1356 -2.523 69 0.614 1357 0.051
2023/02/24-18:32:43.671704 1900000000 1900000000 1355 -0.645 68 2.494 1357 0.050
2023/02/24-18:32:43.693143 1900000000 1900000000 1357 0.779 68 -2.365 1358 0.050
2023/02/24-18:32:43.713670 1900000000 1900000000 1356 -2.472 68 0.664 1357 0.050
2023/02/24-18:32:43.735008 1900000000 1900000000 1355 0.953 70 -2.191 1356 0.052
2023/02/24-18:32:43.767100 1900000000 1900000000 1356 -2.744 68 0.393 1357 0.050
2023/02/24-18:32:43.788804 1900000000 1900000000 1358 1.687 66 -1.459 1359 0.048
2023/02/24-18:32:43.810151 1900000000 1900000000 1358 -3.107 67 0.030 1359 0.050
2023/02/24-18:32:43.833781 1900000000 1900000000 1357 2.939 67 -0.207 1358 0.049
2023/02/24-18:32:43.869776 1900000000 1900000000 1356 1.619 69 -1.524 1358 0.050
2023/02/24-18:32:43.891277 1900000000 1900000000 1356 0.652 68 -2.493 1358 0.050
2023/02/24-18:32:43.913637 1900000000 1900000000 1357 -0.387 66 2.751 1359 0.049
2023/02/24-18:32:43.936315 1900000000 1900000000 1357 0.834 67 -2.310 1358 0.049
2023/02/24-18:32:43.954340 1900000000 1900000000 1357 1.053 68 -2.093 1359 0.050
2023/02/24-18:32:43.973883 1900000000 1900000000 1358 -2.785 66 0.351 1360 0.049
2023/02/24-18:32:43.993481 1900000000 1900000000 1356 2.510 71 -0.635 1358 0.052
2023/02/24-18:32:44.026651 1900000000 1900000000 1357 0.750 68 -2.395 1359 0.050
2023/02/24-18:32:44.043059 1900000000 1900000000 1356 0.744 70 -2.401 1358 0.051
2023/02/24-18:32:44.062047 1900000000 1900000000 1358 -3.124 67 0.017 1359 0.050
2023/02/24-18:32:44.078830 1900000000 1900000000 1357 -1.274 67 1.864 1359 0.049
2023/02/24-18:32:44.096986 1900000000 1900000000 1355 -1.529 68 1.610 1357 0.050
2023/02/24-18:32:44.114928 1900000000 1900000000 1354 -1.799 69 1.339 1356 0.051
2023/02/24-18:32:44.132993 1900000000 1900000000 1356 2.120 68 -1.026 1358 0.050
2023/02/24-18:32:44.153696 1900000000 1900000000 1355 -0.658 70 2.478 1357 0.052
2023/02/24-18:32:44.172334 1900000000 1900000000 1356 -3.065 69 0.073 1357 0.051
2023/02/24-18:32:44.190869 1900000000 1900000000 1356 -1.235 68 1.905 1358 0.050
