DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2022/07/18-12:36:14.047399 1900000000 1900000000 1846 -0.904 1085 -0.919 2142 0.531
2022/07/18-12:36:14.070274 1900000000 1900000000 1848 2.559 1082 2.544 2142 0.530
2022/07/18-12:36:14.092342 1900000000 1900000000 1846 -1.762 1082 -1.777 2140 0.530
2022/07/18-12:36:14.112503 1900000000 1900000000 1848 -0.817 1081 -0.833 2141 0.529
2022/07/18-12:36:14.129696 1900000000 1900000000 1848 1.607 1079 1.591 2140 0.528
2022/07/18-12:36:14.163520 1900000000 1900000000 1849 1.077 1076 1.061 2139 0.527
2022/07/18-12:36:14.186931 1900000000 1900000000 1847 0.841 1080 0.826 2139 0.529
2022/07/18-12:36:14.206499 1900000000 1900000000 1847 -1.919 1083 -1.935 2141 0.530
2022/07/18-12:36:14.223955 1900000000 1900000000 1847 -0.658 1078 -0.674 2138 0.529
2022/07/18-12:36:14.239926 1900000000 1900000000 1848 1.347 1078 1.332 2140 0.528
2022/07/18-12:36:14.260746 1900000000 1900000000 1848 2.207 1081 2.192 2141 0.529
2022/07/18-12:36:14.284119 1900000000 1900000000 1846 0.349 1087 0.334 2143 0.532
2022/07/18-12:36:14.302719 1900000000 1900000000 1847 1.091 1079 1.076 2139 0.529
2022/07/18-12:36:14.329934 1900000000 1900000000 1847 -2.555 1084 -2.570 2142 0.531
2022/07/18-12:36:14.348266 1900000000 1900000000 1846 -1.300 1084 -1.315 2141 0.531
2022/07/18-12:36:14.370568 1900000000 1900000000 1845 -2.468 1088 -2.483 2142 0.533
2022/07/18-12:36:14.387924 1900000000 1900000000 1848 -2.201 1082 -2.216 2141 0.530
2022/07/18-12:36:14.419337 1900000000 1900000000 1847 1.337 1086 1.322 2143 0.531
2022/07/18-12:36:14.441838 1900000000 1900000000 1845 -2.371 1082 -2.386 2139 0.530
2022/07/18-12:36:14.457713 1900000000 1900000000 1845 1.540 1086 1.525 2142 0.532
2022/07/18-12:36:14.489900 1900000000 1900000000 1847 1.377 1083 1.362 2141 0.531
2022/07/18-12:36:14.517544 1900000000 1900000000 1846 0.866 1080 0.851 2139 0.529
2022/07/18-12:36:14.532725 1900000000 1900000000 1847 -1.599 1078 -1.614 2139 0.528
2022/07/18-12:36:14.554201 1900000000 1900000000 1846 -0.016 1081 -0.032 2139 0.530
2022/07/18-12:36:14.586930 1900000000 1900000000 1847 -2.501 1077 -2.516 2138 0.528
2022/07/18-12:36:14.607814 1900000000 1900000000 1848 0.757 1072 0.741 2136 0.526
2022/07/18-12:36:14.631447 1900000000 1900000000 1848 0.182 1074 0.167 2137 0.527
2022/07/18-12:36:14.647678 1900000000 1900000000 1848 -0.189 1076 -0.204 2138 0.527
2022/07/18-12:36:14.665241 1900000000 1900000000 1846 2.418 1077 2.403 2137 0.528
2022/07/18-12:36:14.692240 1900000000 1900000000 1848 1.896 1081 1.881 2141 0.529
2022/07/18-12:36:14.711901 1900000000 1900000000 1847 -0.246 1081 -0.262 2140 0.529
2022/07/18-12:36:14.729471 1900000000 1900000000 1846 0.023 1078 0.008 2138 0.528
2022/07/18-12:36:14.756226 1900000000 1900000000 1846 1.425 1083 1.409 2140 0.531
2022/07/18-12:36:14.780504 1900000000 1900000000 1846 0.409 1077 0.394 2138 0.528
2022/07/18-12:36:14.806571 1900000000 1900000000 1846 -1.572 1082 -1.587 2140 0.530
2022/07/18-12:36:14.822403 1900000000 1900000000 1846 2.882 1085 2.867 2141 0.531
2022/07/18-12:36:14.845836 1900000000 1900000000 1846 -1.007 1080 -1.022 2139 0.529
2022/07/18-12:36:14.870969 1900000000 1900000000 1847 -2.177 1077 -2.192 2138 0.528
2022/07/18-12:36:14.889618 1900000000 1900000000 1846 -1.765 1080 -1.780 2138 0.529
2022/07/18-12:36:14.903923 1900000000 1900000000 1848 0.411 1070 0.396 2136 0.525
2022/07/18-12:36:14.927479 1900000000 1900000000 1847 2.564 1082 2.549 2140 0.530
2022/07/18-12:36:14.949656 1900000000 1900000000 1847 2.281 1080 2.266 2140 0.529
2022/07/18-12:36:14.975136 1900000000 1900000000 1847 -1.600 1077 -1.615 2138 0.528
2022/07/18-12:36:14.998561 1900000000 1900000000 1847 -0.745 1078 -0.761 2138 0.528
2022/07/18-12:36:15.012436 1900000000 1900000000 1847 2.858 1077 2.843 2139 0.528
2022/07/18-12:36:15.040597 1900000000 1900000000 1846 1.796 1078 1.781 2137 0.529
2022/07/18-12:36:15.063863 1900000000 1900000000 1847 -1.570 1074 -1.585 2136 0.527
2022/07/18-12:36:15.086264 1900000000 1900000000 1845 -2.346 1082 -2.361 2139 0.530
2022/07/18-12:36:15.111661 1900000000 1900000000 1847 -1.331 1076 -1.346 2137 0.527
2022/07/18-12:36:15.123352 1900000000 1900000000 1845 2.993 1074 2.978 2135 0.527
2022/07/18-12:36:15.153890 1900000000 1900000000 1841 -2.435 1083 -2.450 2136 0.532
2022/07/18-12:36:15.179279 1900000000 1900000000 1836 -0.024 1085 -0.039 2132 0.534
2022/07/18-12:36:15.192926 1900000000 1900000000 1832 -0.002 1086 -0.017 2130 0.535
2022/07/18-12:36:15.213287 1900000000 1900000000 1828 0.277 1078 0.262 2123 0.533
2022/07/18-12:36:15.232384 1900000000 1900000000 1824 -0.363 1078 -0.379 2119 0.534
2022/07/18-12:36:15.250409 1900000000 1900000000 1821 -1.058 1079 -1.073 2117 0.535
